Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0390747700765206,0.0402261362270034,0.0414058825503653,0.042614471456525,0.0438523629631629,0.0451200142156219,0.0464178789954926,0.0477464072184402,0.0491060444218759,0.0504972312431265,0.0519204028888067,0.0533759885961443,0.05486441108706,0.0563860860158508,0.0579414214113692,0.0595308171146415,0.0611546642129069,0.0628133444711036,0.0645072297618674,0.0662366814951476,0.0680020500485754,0.0698036741997576,0.0716418805616941,0.0735169830225443,0.0754292821909906,0.077379064848464,0.0793666034095133,0.0813921553916085,0.0834559628956753,0.0855582520986598,0.0876992327594187,0.0898790977392229,0.0920980225381498,0.0943561648486222,0.0966536641273288,0.0989906411867339,0.101367197807353,0.10378341637193,0.106239359522614,0.108735069842187,0.11127056956033,0.113845860285882,0.116460922765964,0.119115716672786,0.121810180418888,0.124544231001485,0.127317763876524,0.130130652862972,0.132982750077771,0.135873885901825,0.138803868977295,0.141772486236376,0.144779502961658,0.147824662878088,0.15090768827644,0.154028280168129,0.157186118471111,0.160380862226517,0.163612149845593,0.16687959938642,0.170182808859821,0.173521356563759,0.176894801445479,0.180302683490551,0.183744524137901,0.187219826719874,0.19072807692627,0.194268743291265,0.197841277702071,0.201445115928121,0.205079678169539,0.208744369623607,0.212438581067909,0.21616168945879,0.219913058543776,0.22369203948653,0.227497971502969,0.231330182507091,0.235187989765126,0.239070700556562,0.242977612840658,0.246908015927026,0.25086119114892,0.254836412537842,0.258832947498159,0.262850057480397,0.266886998651948,0.27094302256396,0.275017376813193,0.279109305697705,0.28321805086524,0.287342851953276,0.291482947219703,0.295637574163191,0.299805970132322,0.303987372922654,0.308181021360918,0.312386155875605,0.316602019053271,0.320827856179934
GA,0.12674414180964,0.128348930035015,0.129956631888068,0.131566698328705,0.133178567325923,0.134791664103465,0.136405401411198,0.138019179822507,0.139632388057965,0.141244403335472,0.142854591746988,0.144462308661924,0.146066899157178,0.14766769847374,0.149264032499705,0.150855218279461,0.152440564548746,0.154019372295163,0.155590935343695,0.157154540966645,0.158709470517362,0.160255000087023,0.161790401183641,0.163314941432424,0.164827885296466,0.166328494816729,0.167816030370146,0.169289751444617,0.170748917429589,0.17219278842084,0.173620626037986,0.175031694253223,0.176425260229665,0.177800595167671,0.179156975157412,0.180493682035958,0.181810004247043,0.183105237701697,0.184378686637844,0.185629664476974,0.186857494675963,0.1880615115721,0.189241061219378,0.190395502214103,0.191524206507885,0.192626560206096,0.193701964349885,0.194749835679888,0.195769607379805,0.196760729798049,0.197722671145733,0.198654918169326,0.199556976796352,0.200428372752604,0.2012686521494,0.202077382039506,0.202854150940435,0.203598569323921,0.204310270070465,0.204988908887972,0.20563416469356,0.206245739957788,0.206823361010606,0.207366778308494,0.207875766662323,0.208350125425635,0.208789678643113,0.209194275159168,0.209563788686643,0.209898117835797,0.210197186103796,0.21046094182509,0.210689358083136,0.210882432584049,0.211040187492846,0.211162669233074,0.211249948250671,0.211302118743024,0.211319298354269,0.21130162783794,0.211249270688157,0.211162412740621,0.211041261744725,0.210886046908153,0.210697018415399,0.210474446921659,0.210218623023611,0.209929856708601,0.209608476783804,0.209254830286926,0.208869281880041,0.208452213228148,0.208004022364056,0.207525123041161,0.207015944075728,0.206476928680213,0.205908533789181,0.205311229379342,0.204685497785191,0.204031833011703
IB,0.552574333379969,0.549111074253985,0.545596447163245,0.542031091987758,0.538415678950979,0.5347509087307,0.531037512532892,0.527276252127119,0.523467919842168,0.519613338520609,0.515713361431043,0.511768872136899,0.50778078432067,0.503750041562609,0.499677617072956,0.495564513376895,0.491411761951508,0.487220422814144,0.482991584061688,0.478726361360373,0.474425897385889,0.470091361213665,0.465723947659351,0.461324876569652,0.456895392063828,0.452436761726287,0.447950275750886,0.443437246037681,0.43889900524301,0.434336905783988,0.429752318798595,0.425146633062718,0.420521253865668,0.415877601845808,0.411217111788108,0.406541231385569,0.401851419966593,0.397149147190532,0.392435891713733,0.387713139828571,0.382982384078039,0.378245121848568,0.373502853943889,0.368757083142782,0.364009312743677,0.359261045099131,0.354513780143251,0.349769013915206,0.34502823708197,0.340292933463517,0.335564578563642,0.330844638109633,0.32613456660398,0.321435805891299,0.316749783743596,0.312077912466987,0.307421587532875,0.302782186236583,0.298161066386297,0.293559565025129,0.288978997188986,0.284420654702827,0.279885805017755,0.275375690091295,0.270891525313031,0.266434498477658,0.262005768807354,0.257606466025188,0.253237689481174,0.248900507332354,0.244595955778171,0.240325038352195,0.236088725271092,0.231887952841576,0.227723622925863,0.223596602466024,0.21950772306742,0.215457780641252,0.211447535106084,0.207477710148045,0.20354899303923,0.199662034513695,0.195817448700269,0.192015813111283,0.188257668686159,0.18454351988868,0.180873834856656,0.177249045602551,0.173669548263569,0.170135703399567,0.166647836337094,0.163206237557759,0.15981116312907,0.156462835175817,0.153161442390005,0.149907140577326,0.146700053238088,0.143540272180503,0.140427858164228,0.137362841572
DF,0.0780491542283313,0.0795336105213573,0.0810354470334697,0.082554490388499,0.0840905518912431,0.0856434273032444,0.0872128966344364,0.0887987239516217,0.0904006572047372,0.0920184280718472,0.0936517518237944,0.0953003272094156,0.0969638363622076,0.0986419447293036,0.100334301023585,0.102040537199723,0.103760268454902,0.105493093254938,0.107238593386448,0.108996334035691,0.110765863894624,0.112546715294692,0.114338404368753,0.116140431241546,0.117952280248963,0.119773420186377,0.121603304586158,0.123441372024466,0.125287046457286,0.127139737585637,0.128998841249757,0.13086373985201,0.13273380280816,0.134608387026561,0.136486837414751,0.138368487412807,0.140252659552778,0.14213866604338,0.144025809379075,0.14591338297258,0.147800671809739,0.149686953125632,0.151571497100728,0.153453567575774,0.155332422784098,0.157207316099882,0.159077496800943,0.160942210844483,0.162800701654213,0.164652210917221,0.166495979388921,0.168331247704348,0.170157257194092,0.17197325070309,0.173778473410505,0.175572173648925,0.177353603721062,0.179122020712208,0.180876687296645,0.182616872536269,0.184341852669701,0.186050911890177,0.187743343110558,0.189418448713838,0.191075541287578,0.19271394434075,0.19433299300153,0.195932034694635,0.197510429796903,0.199067552269826,0.200602790267895,0.202115546721633,0.203605239894314,0.205071303911442,0.206513189262143,0.207930363271721,0.209322310544723,0.210688533377947,0.212028552142903,0.213341905637365,0.21462815140571,0.21588686602785,0.217117645376638,0.218320104843747,0.219493879534066,0.220638624428774,0.221754014517321,0.222839744898633,0.223895530851908,0.224921107877495,0.22591623170834,0.226880678292637,0.227814243748306,0.228716744290017,0.22958801612954,0.230427915350205,0.231236317756363,0.232013118698714,0.232758232876464,0.233471594117251
Nat,0.0787200879744418,0.0772913998113607,0.0758784781491303,0.0744813235484519,0.0730999352985483,0.0717343113645123,0.0703844483332626,0.069050341358219,0.067731984102818,0.0664293686829948,0.0651424856087662,0.0638713237250538,0.0626158701518948,0.0613761102241927,0.0601520274311658,0.058943603355659,0.0577508176134847,0.0565736477929691,0.0554120693948792,0.0542660557729132,0.053135578074936,0.0520206051851502,0.0509211036673869,0.0498370377097097,0.0487683690705205,0.0477150570263586,0.0466770583215821,0.0456543271201217,0.0446468149594912,0.0436544707072399,0.0426772405200264,0.0417150678054889,0.0407678931870826,0.0398356544720503,0.0389182866226819,0.0380157217310157,0.0371278889971237,0.0362547147111144,0.03539612223898,0.0345520320124003,0.0337223615226101,0.0329070253184223,0.0321059350084887,0.0313189992678688,0.0305461238489628,0.0297872115968549,0.0290421624690965,0.0283108735599495,0.0275932391290913,0.0268891506347755,0.0261984967714231,0.0255211635116081,0.0248570341523876,0.0242059893659124,0.0235679072542399,0.0229426634082612,0.022330130970636,0.0217301807026239,0.0211426810546803,0.0205674982406824,0.0200044963156313,0.0194535372566742,0.0189144810472733,0.0183871857643453,0.0178715076681831,0.0173673012949661,0.0168744195516568,0.0163927138130779,0.0159220340209568,0.0154622287847215,0.0150131454838279,0.0145746303713967,0.0141465286789354,0.013728684721921,0.0133209420060186,0.0129231433337122,0.0125351309111258,0.0121567464548144,0.0117878312983093,0.0114282264982056,0.0110777729395822,0.0107363114405549,0.0104036828557635,0.0100797281786041,0.00976428864202452,0.00945720581770576,0.00915832171346394,0.00886747886871304,0.00858452044783853,0.00830929033134086,0.00804163320461721,0.00778139464425911,0.00752842120175349,0.00728256048448449,0.00704366123394279,0.00681157340105974,0.00658614821859266,0.00636723827049806,0.00615469755823882,0.00594838156398082
S1P,0.0689542474386835,0.0694281223411651,0.0698958924189768,0.0703573094196834,0.0708121246297842,0.071260089107358,0.0717009539214747,0.0721344703981192,0.0725603903723448,0.0729784664463481,0.0733884522531274,0.0737901027253651,0.0741831743691422,0.0745674255420703,0.0749426167353989,0.0753085108596321,0.0756648735331625,0.076011473373406,0.0763480822899012,0.076674475778812,0.0769904332182532,0.0772957381638408,0.0775901786438476,0.0778735474533344,0.0781456424466064,0.0784062668273388,0.0786552294356991,0.0788923450317921,0.0791174345747408,0.0793303254967195,0.0795308519712502,0.079718855175076,0.0798941835429293,0.0800566930145195,0.0802062472730741,0.080342717974778,0.0804659849684711,0.0805759365049827,0.0806724694354984,0.0807554893983803,0.0808249109938841,0.0808806579462459,0.0809226632526412,0.0809508693185481,0.0809652280790857,0.0809657011059308,0.0809522596994563,0.0809248849657746,0.0808835678784108,0.0808283093243725,0.0807591201344294,0.080676021097458,0.0805790429587564,0.0804682264022777,0.0803436220167794,0.0802052902459319,0.0800533013224782,0.0798877351865829,0.079708681388553,0.0795162389761632,0.079310516366858,0.0790916312051501,0.0788597102055763,0.0786148889816105,0.0783573118609758,0.0780871316878328,0.0778045096123561,0.0775096148682464,0.0772026245387527,0.0768837233118101,0.076553103224924,0.0762109634004526,0.0758575097719625,0.0754929548023489,0.0751175171944256,0.0747314215947038,0.074334898291087,0.0739281829052156,0.0735115160801993,0.0730851431644745,0.0726493138925249,0.0722042820631963,0.0717503052163305,0.0712876443084356,0.0708165633880954,0.070337329271808,0.0698502112209284,0.0693554806203699,0.068853410659701,0.0683442760172508,0.067828352547816,0.0673059169745332,0.0667772465854594,0.0662426189353724,0.0657023115532778,0.0651566016560785,0.0646057658688349,0.0640500799520124,0.0634898185360843,0.0629252548638258
AL,0.0558832650924127,0.0560607268101137,0.0562312207967446,0.0563946148703776,0.0565507789403595,0.0566995851750982,0.0568409081712434,0.0569746251239739,0.0571006159980911,0.0572187636996032,0.0573289542474744,0.0574310769451982,0.0575250245518466,0.0576106934522332,0.05768798382582,0.0577567998139886,0.0578170496852897,0.0578686459982762,0.0579115057615212,0.0579455505904189,0.0579707068603592,0.0579869058558715,0.0579940839153262,0.0579921825707897,0.0579811486826259,0.0579609345684467,0.0579314981260148,0.057892802949714,0.0578448184402071,0.057787519906916,0.0577208886629667,0.0576449121122608,0.0575595838283443,0.0574649036247675,0.0573608776166442,0.0572475182731395,0.0571248444606378,0.0569928814763641,0.0568516610722555,0.0567012214689064,0.0565416073594352,0.0563728699031491,0.0561950667089104,0.0560082618081375,0.0558125256174032,0.055607934890621,0.0553945726608438,0.055172528171727,0.0549418967987401,0.0547027799602408,0.0544552850185571,0.0541995251712516,0.0539356193327732,0.0536636920067291,0.0533838731490388,0.0530962980222605,0.0528011070414026,0.0524984456115643,0.052188463957767,0.0518713169473649,0.0515471639054421,0.0512161684236245,0.0508784981627512,0.0505343246498662,0.0501838230700082,0.049827172053283,0.0494645534577202,0.0490961521484193,0.0487221557734992,0.0483427545373701,0.0479581409718466,0.0475685097056262,0.0471740572326514,0.0467749816798731,0.0463714825749279,0.0459637606142343,0.0455520174320042,0.0451364553706569,0.0447172772531099,0.0442946861574078,0.0438688851941374,0.0434400772870567,0.0430084649573549,0.0425742501119349,0.0421376338360969,0.0416988161909761,0.0412579960160708,0.0408153707371718,0.0403711361799854,0.0399254863897157,0.0394786134568529,0.0390307073493879,0.038581955751652,0.0381325439099566,0.0376826544851848,0.0372324674124637,0.0367821597680228,0.0363319056433241,0.0358818760265234,0.0354322386913059
IB to S1P,0.0353376859910352,0.0353426227008866,0.035346281908091,0.0353487033873907,0.0353499258432344,0.0353499869275359,0.0353489232579679,0.0353467704367104,0.035343563069579,0.0353393347854633,0.0353341182560112,0.0353279452154992,0.0353208464808326,0.0353128519716257,0.0353039907303143,0.0352942909422572,0.035283779955788,0.03527248430218,0.035260429715492,0.0352476411522651,0.0352341428110433,0.0352199581516936,0.0352051099145039,0.0351896201390394,0.0351735101827393,0.0351568007392397,0.0351395118564092,0.0351216629540844,0.0351032728414968,0.0350843597343821,0.035064941271765,0.0350450345324132,0.0350246560509574,0.0350038218336728,0.0349825473739195,0.0349608476672418,0.0349387372261246,0.0349162300944071,0.0348933398613551,0.034870079675394,0.034846462257503,0.034822499914275,0.0347982045506433,0.0347735876822814,0.0347486604476767,0.0347234336198849,0.0346979176179682,0.0346721225181225,0.0346460580644991,0.0346197336797252,0.0345931584751297,0.0345663412606788,0.0345392905546279,0.034512014592895,0.0344845213381613,0.0344568184887057,0.0344289134869778,0.0344008135279171,0.0343725255670218,0.0343440563281757,0.0343154123112375,0.0342865997993985,0.0342576248663152,0.0342284933830217,0.0341992110246281,0.0341697832768105,0.034140215442098,0.0341105126459618,0.0340806798427128,0.0340507218212122,0.0340206432103999,0.0339904484846474,0.0339601419689382,0.0339297278438825,0.0338992101505694,0.0338685927952627,0.0338378795539438,0.0338070740767071,0.0337761798920114,0.0337452004107926,0.0337141389304411,0.0336829986386486,0.0336517826171276,0.0336204938452085,0.0335891352033169,0.0335577094763359,0.033526219356856,0.0334946674483178,0.0334630562680478,0.0334313882501947,0.0333996657485658,0.0333678910393686,0.0333360663238605,0.0333041937309086,0.0332722753194639,0.033240313080951,0.033208308941578,0.0331762647645671,0.03314418235231,0.0331120634484505
S1P to BcD,0.0653028646792501,0.0645698067815664,0.0638426132224208,0.0631213042837348,0.0624058979400121,0.0616964099126878,0.0609928537243511,0.0602952407527914,0.0596035802848187,0.0589178795698163,0.0582381438729794,0.0575643765282011,0.0568965789905667,0.0562347508884199,0.0555788900749677,0.0549289926793912,0.0542850531574329,0.0536470643414318,0.0530150174897825,0.0523889023357914,0.0517687071359096,0.0511544187173223,0.0505460225248738,0.0499435026673143,0.0493468419628497,0.0487560219839829,0.048171023101633,0.0475918245285218,0.0470184043618174,0.0464507396250278,0.0458888063091356,0.0453325794129703,0.0447820329828106,0.0442371401512167,0.0436978731750863,0.0431642034729356,0.0426361016614038,0.0421135375909803,0.0415964803809581,0.0410848984536136,0.0405787595676154,0.0400780308506675,0.0395826788313888,0.039092669470435,0.0386079681908687,0.0381285399077815,0.0376543490571776,0.0371853596241236,0.0367215351701722,0.036262838860069,0.0358092334877493,0.0353606815016335,0.0349171450292311,0.0344785859010613,0.0340449656739002,0.0336162456533646,0.0331923869158413,0.0327733503297737,0.0323590965763142,0.0319495861693537,0.0315447794749394,0.03114463673009,0.0307491180610205,0.0303581835007867,0.0299717930063605,0.0295899064751468,0.0292124837609532,0.0288394846894227,0.0284708690729422,0.0281065967250346,0.027746627474249,0.027390921177557,0.0270394377332672,0.0266921370934687,0.0263489792760136,0.0260099243760502,0.0256749325771152,0.0253439641617986,0.0250169795219883,0.0246939391687067,0.0243748037415488,0.0240595340177314,0.0237480909207632,0.0234404355287471,0.023136529082321,0.0228363329922504,0.0225398088466788,0.0222469184180473,0.0219576236696913,0.0216718867621227,0.0213896700590087,0.0211109361328519,0.0208356477703841,0.0205637679776792,0.0202952599849948,0.0200300872513494,0.0197682134688445,0.0195096025667375,0.0192542187152736,0.0190020263292855
IB to DF,0.0558165847885832,0.0556427134793686,0.055467377976107,0.055290658387628,0.0551126322220671,0.0549333744488779,0.0547529575608218,0.0545714516358031,0.0543889243984244,0.0542054412811528,0.054021065484995,0.0538358580395901,0.0536498778626394,0.0534631818185988,0.0532758247765695,0.05308785966733,0.0528993375394578,0.0527103076144982,0.0525208173411428,0.0523309124483839,0.0521406369976206,0.0519500334336928,0.0517591426348267,0.0515680039614783,0.0513766553040653,0.0511851331295817,0.0509934725270917,0.0508017072521036,0.0506098697698259,0.0504179912973106,0.0502261018444911,0.0500342302541239,0.0498424042406446,0.0496506504279502,0.0494589943861228,0.0492674606671084,0.0490760728393667,0.0488848535215099,0.0486938244149479,0.0485030063355571,0.0483124192443931,0.048122082277467,0.0479320137746029,0.0477422313074,0.0475527517063164,0.0473635910868972,0.0471747648751664,0.0469862878322036,0.0467981740779263,0.0466104371140969,0.0464230898465768,0.0462361446068457,0.0460496131728079,0.0458635067889038,0.0456778361855478,0.0454926115979095,0.0453078427840599,0.0451235390424993,0.0449397092290854,0.0447563617733809,0.0445735046944365,0.0443911456160278,0.0442092917813621,0.0440279500672731,0.043847126997917,0.0436668287579891,0.0434870612054734,0.0433078298839421,0.0431291400344185,0.0429509966068181,0.0427734042709819,0.0425963674273148,0.0424198902170427,0.042243976532101,0.0420686300246667,0.0418938541163466,0.0417196520070325,0.0415460266834356,0.0413729809273104,0.0412005173233795,0.0410286382669693,0.0408573459713659,0.0406866424749022,0.0405165296477853,0.0403470091986721,0.0401780826810039,0.040009751499107,0.0398420169140681,0.0396748800493924,0.0395083418964527,0.039342403319736,0.0391770650618955,0.0390123277486151,0.0388481918932922,0.0386846579015467,0.0385217260755618,0.0383593966182616,0.0381976696373343,0.0380365451491032,0.0378760230822536
