Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0269691268853728,0.0278366417425511,0.0287284019004333,0.0296449157955869,0.0305866947474018,0.0315542525824702,0.0325481052405905,0.0335687703623698,0.0346167668584509,0.0356926144604371,0.036796833253646,0.0379299431918728,0.0390924635944075,0.0402849126256064,0.0415078067573823,0.0427616602150408,0.0440469844069568,0.0453642873386512,0.0467140730118967,0.0480968408095517,0.0495130848668906,0.0509632934302682,0.0524479482040316,0.0539675236866559,0.0555224864971583,0.0571132946929087,0.0587403970800251,0.0604042325176103,0.0621052292171482,0.0638438040384408,0.0656203617835296,0.0674352944900964,0.069288980725896,0.0711817848858183,0.0731140564932238,0.0750861295072376,0.0770983216377148,0.0791509336696299,0.0812442487986547,0.0833785319797136,0.0855540292903138,0.0877709673104482,0.0900295525208717,0.0923299707215335,0.0946723864719377,0.097056942555172,0.099483759467316,0.101952934933897,0.104464543455017,0.107018635880705,0.109615239018012,0.112254355271265,0.114935962316829,0.11766001281366,0.120426434150804,0.123235128232929,0.12608597130486,0.128978813815977,0.131913480325223,0.134889769447355,0.137907453840937,0.140966280238456,0.144065969518811,0.147206216822292,0.150386691708025,0.153607038353751,0.156866875797636,0.160165798221703,0.163503375276343,0.166879152445209,0.170292651449699,0.173743370692083,0.177230785736239,0.180754349824801,0.18431349443146,0.187907629847028,0.191536145797763,0.195198412094399,0.198893779310192,0.202621579486262,0.206381126862394,0.21017171863144,0.213992635715376,0.217843143561044,0.221722492953564,0.225629920845369,0.229564651198795,0.23352589584016,0.23751285532324,0.241524719800081,0.245560669897068,0.249619877594228,0.253701507105746,0.25780471575971,0.261928654875177,0.266072470634644,0.270235304950119,0.274416296321012,0.27861458068216,0.282829292240332
GA,0.0673504944219032,0.0683822222939048,0.0694209107187304,0.0704663097893255,0.0715181587986389,0.0725761861759915,0.0736401094371423,0.0747096351487257,0.0757844589077332,0.0768642653366983,0.0779487280952356,0.0790375099085672,0.0801302626136563,0.0812266272235407,0.0823262340104421,0.0834287026081945,0.0845336421345072,0.0856406513335424,0.0867493187392537,0.0878592228598843,0.0889699323839886,0.090081006408285,0.0911919946876027,0.0923024379071294,0.0934118679771088,0.0945198083500785,0.0956257743606727,0.0967292735879541,0.0978298062401626,0.098926865561706,0.100019938262139,0.101108504966805,0.102192040688739,0.103270015321348,0.104341894151314,0.105407138391083,0.106465205730212,0.107515550904795,0.108557626284071,0.109590882473282,0.110614768931733,0.111628734604965,0.112632228569846,0.113624700691353,0.114605602289717,0.115574386816554,0.116530510538559,0.117473433227253,0.118402618853257,0.119317536283495,0.120217659979705,0.121102470696598,0.121971456177975,0.122824111849085,0.123659941503517,0.124478457982871,0.125279183847495,0.126061652036543,0.126825406515652,0.12757000291054,0.128295009124851,0.12900000594063,0.129684587599827,0.130348362365295,0.130990953059795,0.131611997581585,0.132211149395241,0.13278807799643,0.133342469349429,0.133874026296283,0.134382468936574,0.134867534976865,0.135328980049,0.135766577996504,0.136180121128485,0.136569420440492,0.136934305801926,0.137274626109704,0.137590249407968,0.137881062973767,0.138146973368729,0.138387906456858,0.138603807388685,0.138794640552133,0.13896038949052,0.13910105678826,0.13921666392488,0.139307251098097,0.139372877016761,0.139413618664555,0.139429571035435,0.139420846841838,0.139387576196788,0.139329906271038,0.139248000926502,0.139142040327219,0.139012220529189,0.138858753050398,0.138681864422431,0.138481795725069
IB,0.569092763721486,0.567009874451528,0.564862644744713,0.562651153637322,0.560375509457493,0.558035850497122,0.555632345669975,0.553165195154106,0.550634631016641,0.548040917818913,0.545384353199928,0.542665268436063,0.539884028974904,0.537041034941069,0.534136721611868,0.531171559860625,0.528146056565487,0.525060754981531,0.521916235074016,0.518713113810615,0.515452045410515,0.51213372154828,0.508758871510442,0.505328262302834,0.501842698706716,0.498303023281869,0.494710116314866,0.491064895710857,0.487368316827297,0.483621372248158,0.479825091497305,0.475980540689829,0.472088822120303,0.468151073787053,0.464168468851721,0.460142215033558,0.456073553938075,0.451963760319846,0.44781414127949,0.443626035395019,0.439400811787971,0.435139869124961,0.43084463455547,0.426516562586953,0.422157133898516,0.417767854094686,0.413350252400973,0.408905880303163,0.404436310132499,0.399943133599115,0.395427960276284,0.390892416038265,0.386338141454705,0.381766790144756,0.37718002709423,0.37257952693929,0.367966972220314,0.363344051609736,0.358712458117759,0.35407388727999,0.349430035331108,0.344782597368775,0.340133265512077,0.335483727058797,0.330835662645887,0.32619074441751,0.321550634204994,0.316916981723058,0.312291422786603,0.307675577552305,0.303071048789175,0.298479420182168,0.293902254672793,0.289341092840563,0.284797451328991,0.280272821319656,0.275768667057718,0.271286424432079,0.266827499613159,0.262393267751109,0.257985071737005,0.253604221029392,0.249251990548299,0.244929619638601,0.240638311104384,0.236379230315703,0.232153504388901,0.227962221441383,0.223806429921522,0.219687138014095,0.215605313121451,0.211561881420315,0.207557727493971,0.203593694039264,0.199670581647716,0.195789148659777,0.191950111091071,0.188154142629281,0.184401874700157,0.180693896600923
DF,0.0659319577896565,0.0673622420601003,0.0688147869251554,0.0702896095655981,0.0717867128017449,0.0733060846162289,0.0748476976808586,0.0764115088887004,0.0779974588925745,0.0796054716511873,0.0812354539841658,0.0828872951372906,0.0845608663592582,0.0862560204913334,0.0879725915712748,0.089710394452943,0.0914692244430149,0.0932488569562456,0.0950490471907239,0.0968695298245769,0.0987100187355737,0.100570206745076,0.102449765387769,0.104348344708587,0.106265573088237,0.108201057098661,0.110154381389792,0.112125108608861,0.114112779353507,0.116116912159857,0.11813700352669,0.120172527976735,0.122222938156065,0.124287664972471,0.12636611777361,0.128457684565624,0.130561732272833,0.132677607038969,0.134804634570352,0.136942120521234,0.139089350921469,0.14124559264649,0.143410093929477,0.145582084915447,0.147760778256872,0.149945369750271,0.15213503901311,0.154328950200172,0.156526252758438,0.158726082219371,0.160927561027357,0.163129799402907,0.165331896239115,0.167532940029709,0.169732009826915,0.171928176227246,0.174120502383174,0.176308045038589,0.178489855585781,0.180664981141654,0.18283246564073,0.184991350942479,0.187140677950401,0.189279487740259,0.191406822694791,0.193521727642202,0.195623250995718,0.197710445891452,0.199782371321843,0.201838093261922,0.203876685785704,0.205897232169988,0.207898825982945,0.209880572154878,0.211841588028631,0.213781004387169,0.215697966455972,0.217591634877925,0.219461186658547,0.221305816079444,0.223124735578054,0.224917176591817,0.226682390365074,0.2284196487171,0.230128244769851,0.231807493634116,0.233456733052921,0.235075324001195,0.236662651240844,0.238218123830523,0.23974117558957,0.241231265515702,0.242687878156206,0.244110523932556,0.245498739418462,0.246852087571555,0.248170157919024,0.249452566697642,0.250698956948779,0.251908998569083
Nat,0.147465559090561,0.145169128122059,0.142890254385522,0.140629060680869,0.138385668796192,0.136160199455166,0.13395277226043,0.131763505632909,0.129592516747062,0.127439921462024,0.125305834248674,0.123190368112616,0.121093634513122,0.119015743278069,0.116956802514929,0.114916918517884,0.112896195671155,0.110894736348649,0.108912640810036,0.106950007093397,0.105006930904601,0.103083505503562,0.101179821587582,0.0992959671719619,0.0974320274681196,0.0955880847594293,0.0937642182750501,0.0919605040620023,0.0901770148557762,0.0884138199497717,0.0866709850638792,0.0849485722125293,0.0832466395725485,0.0815652413511714,0.0799044276545721,0.0782642443572849,0.0766447329728956,0.07504593052639,0.0734678694285554,0.0719105773528321,0.0703740771150176,0.0688583865562282,0.067363518429521,0.0658894802905798,0.0644362743928635,0.0630038975876131,0.0615923412291032,0.0602015910855204,0.0588316272558351,0.0574824240930266,0.0561539501340044,0.0548461680365548,0.0535590345236232,0.0522925003352267,0.0510465101882683,0.0498210027445049,0.0486159105868955,0.0474311602045351,0.0462666719863505,0.0451223602237108,0.043998133122075,0.0428938928217738,0.0418095354279897,0.0407449510499737,0.0397000238495043,0.0386746320985651,0.037668648246187,0.0366819389943708,0.0357143653829747,0.0347657828834237,0.0338360415010667,0.03292498588598,0.0320324554519873,0.0311582845036401,0.0303023023708778,0.0294643335510601,0.028644197858044,0.0278417105779552,0.0270566826312827,0.0262889207409094,0.0255382276056734,0.0248044020790403,0.0240872393524549,0.0233865311429283,0.0227020658844092,0.0220336289224794,0.0213810027119099,0.0207439670166105,0.0201222991115037,0.019515773985856,0.0189241645476012,0.0183472418281951,0.0177847751875467,0.0172365325185803,0.0167022804509898,0.0161817845537603,0.0156748095360413,0.0151811194459736,0.0147004778670824,0.0142326481118683
S1P,0.0902013512636651,0.0910595511789175,0.0919142063127318,0.0927649474716297,0.0936113997258179,0.0944531826125008,0.0952899103541572,0.0961211920919628,0.0969466321345123,0.0977658302219564,0.0985783818056381,0.0993838783432693,0.100181907609652,0.100972054022904,0.101753898986106,0.102527021244231,0.103290997256197,0.104045401581788,0.104789807283176,0.105523786340719,0.106246910082619,0.10695874962803,0.107658876343084,0.108346862309298,0.109022280803745,0.109684706790302,0.110333717421268,0.110968892548537,0.111589815243512,0.112196072324833,0.112787254892986,0.113362958870771,0.113922785548584,0.114466342133393,0.114993242300269,0.115503106745266,0.115995563738415,0.116470249675565,0.116926809627761,0.117364897886817,0.117784178505744,0.118184325832632,0.118565025036614,0.118925972624485,0.119266876946594,0.119587458690586,0.119887451361598,0.120166601747525,0.120424670367995,0.120661431905692,0.120876675618732,0.121070205732812,0.121241841811892,0.121391419106236,0.121518788876675,0.121623818694017,0.121706392712615,0.121766411917137,0.121803794341692,0.121818475260519,0.12181040734956,0.121779560818281,0.121725923511244,0.121649500978989,0.121550316517913,0.121428411178887,0.121283843744516,0.121116690674973,0.12092704602251,0.120715021314791,0.120480745407341,0.120224364305462,0.119946040956104,0.119645955010241,0.119324302556425,0.118981295826254,0.118617162872597,0.118232147221498,0.117826507498746,0.117400517032194,0.116954463430956,0.1164886481427,0.116003385990284,0.115499004689056,0.114975844346183,0.1144342569434,0.113874605804618,0.113297265049859,0.112702619036983,0.112091061792728,0.111462996434549,0.110818834584778,0.110158995778604,0.109483906867371,0.108794001418672,0.108089719114696,0.107371505150276,0.106639809632015,0.105895086979882,0.105137795332586
AL,0.0329887468273563,0.0331803401509388,0.033368795012714,0.0335540030596687,0.0337358556727113,0.0339142440605202,0.0340890593568469,0.0342601927212255,0.0344275354430262,0.0345909790487835,0.0347504154127131,0.0349057368703216,0.0350568363349999,0.0352036074174769,0.0353459445479985,0.0354837431010817,0.0356168995226814,0.0357453114595927,0.0358688778908983,0.0359874992612565,0.0361010776158121,0.0362095167364992,0.03631272227949,0.0364106019135338,0.0365030654589154,0.0365900250267507,0.0366713951583261,0.036747092964178,0.0368170382625971,0.0368811537172337,0.0369393649734722,0.0369916007932342,0.0370377931878642,0.0370778775487454,0.0371117927752903,0.0371394813999462,0.0371608897098546,0.0371759678648043,0.0371846700111161,0.0371869543911032,0.0371827834477519,0.0371721239242758,0.0371549469582008,0.0371312281696492,0.0371009477435005,0.0370640905051174,0.0370206459893406,0.0369706085024689,0.0369139771769589,0.0368507560185958,0.036780953945905,0.0367045848215977,0.0366216674758605,0.0365322257213271,0.0364362883595908,0.0363338891791426,0.0362250669446457,0.0361098653774829,0.0359883331275419,0.03586052373623,0.0357264955907385,0.0355863118696051,0.0354400404796504,0.0352877539843942,0.0351295295240846,0.0349654487274991,0.0347955976157082,0.0346200664980126,0.0344389498602972,0.0342523462460652,0.0340603581304409,0.0338630917874534,0.0336606571509331,0.0334531676693736,0.0332407401551301,0.0330234946283416,0.0328015541559796,0.0325750446864402,0.0323440948801058,0.0321088359363157,0.0318694014171887,0.0316259270687519,0.0313785506398275,0.0311274116991384,0.0308726514510882,0.0306144125506725,0.0303528389179751,0.0300880755526947,0.0298202683491455,0.0295495639121611,0.029276109374326,0.0290000522149436,0.0287215400811394,0.0284407206114806,0.0281577412624821,0.0278727491383476,0.0275858908242804,0.0272973122236784,0.0270071583995089,0.0267155734201388
IB to S1P,0.0585377725334309,0.0585940584218378,0.0586466658593338,0.0586956984425934,0.0587412577497648,0.0587834433192902,0.0588223526340886,0.0588580811107403,0.0588907220933263,0.0589203668515877,0.0589471045830852,0.0589710224190518,0.0589922054336444,0.0590107366563168,0.0590266970870466,0.0590401657141632,0.0590512195345388,0.0590599335759149,0.0590663809211495,0.0590706327341848,0.0590727582875439,0.0590728249911792,0.0590708984225038,0.0590670423574506,0.0590613188024106,0.0590537880269163,0.0590445085969405,0.0590335374086939,0.0590209297228102,0.0590067391988196,0.0589910179298137,0.0589738164772185,0.0589551839055936,0.058935167817386,0.0589138143875718,0.0588911683981239,0.0588672732722521,0.0588421711083642,0.0588159027137029,0.0587885076376189,0.0587600242044425,0.0587304895459223,0.0586999396332021,0.05866840930831,0.0586359323151389,0.0586025413298992,0.0585682679910267,0.0585331429285329,0.0584971957927869,0.0584604552827186,0.0584229491734369,0.0583847043432591,0.0583457468001454,0.0583061017075393,0.0582657934096117,0.0582248454559113,0.0581832806254213,0.0581411209500281,0.058098387737404,0.0580551015933103,0.0580112824433257,0.0579669495540078,0.0579221215534936,0.0578768164515474,0.0578310516590639,0.0577848440070358,0.0577382097649941,0.0576911646589311,0.0576437238887148,0.0575959021450057,0.0575477136256848,0.0574991720518035,0.0574502906830658,0.0574010823328518,0.057351559382795,0.0573017337969216,0.0572516171353631,0.0572012205676529,0.0571505548856157,0.0570996305158616,0.0570484575318937,0.0569970456658396,0.0569454043198168,0.0568935425769413,0.0568414692119899,0.0567891927017243,0.0567367212348878,0.0566840627218824,0.0566312248041362,0.0565782148631696,0.0565250400293693,0.0564717071904773,0.0564182229998053,0.0563645938841811,0.0563108260516348,0.0562569254988334,0.056202898018272,0.0561487492052262,0.0560944844644766,0.0560401090168096
S1P to BcD,0.058041062806225,0.057334262218277,0.0566348495544165,0.0559427822370341,0.0552580168693263,0.0545805092750696,0.0539102145375047,0.0532470870373353,0.0525910804898466,0.0519421479811496,0.0513002420035581,0.0506653144901039,0.0500373168482002,0.0494161999924597,0.0488019143766763,0.0481944100249796,0.0475936365621721,0.0469995432432581,0.0464120789821747,0.0458311923797358,0.0452568317507994,0.0446889451506691,0.0441274804007418,0.0435723851134116,0.0430236067162432,0.0424810924754252,0.0419447895185161,0.041414644856494,0.0408906054051239,0.0403726180056518,0.0398606294448419,0.039354586474365,0.0388544358295531,0.0383601242475322,0.0378715984847446,0.0373888053338732,0.0369116916401817,0.0364402043172801,0.0359742903623304,0.0355138968707031,0.035058971050096,0.0346094602341296,0.0341653118954282,0.0337264736582004,0.0332928933103292,0.0328645188149848,0.0324412983217704,0.032023180177412,0.0316101129360048,0.0312020453688258,0.0307989264737238,0.0304007054840986,0.0300073318774776,0.0296187553837038,0.0292349259927413,0.0288557939621117,0.0284813098239702,0.0281114243918306,0.0277460887669496,0.0273852543443799,0.0270288728187007,0.0266768961894355,0.0263292767661658,0.0259859671733495,0.0256469203548522,0.0253120895782014,0.0249814284385697,0.0246548908624969,0.024332431111358,0.0240140037845855,0.023699563822653,0.0233890665098281,0.0230824674767019,0.0227797227025015,0.022480788517194,0.0221856216033867,0.0218941789980322,0.0216064180939442,0.0213222966411296,0.0210417727479441,0.0207648048820774,0.0204913518713727,0.0202213729044884,0.0199548275314052,0.0196916756637859,0.0194318775751927,0.0191753939011667,0.018922185639176,0.0186722141484353,0.0184254411496043,0.0181818287243677,0.0179413393149018,0.0177039357232332,0.0174695811104919,0.0172382389960658,0.0170098732566574,0.0167844481252498,0.0165619281899838,0.0163422783929506,0.0161254640289038
IB to DF,0.0359108564080439,0.0358284089668809,0.0357438758944027,0.0356573418686556,0.0355688893830283,0.0354785987607995,0.0353865481729216,0.0352928136587471,0.0351974691494217,0.0351005864936835,0.035002235485818,0.0349024838955367,0.0348013974995567,0.0346990401146759,0.0345954736321466,0.0344907580531675,0.0343849515253216,0.0342781103798023,0.0341702891692798,0.0340615407062695,0.0339519161018776,0.033841464804803,0.0337302346404908,0.0336182718503358,0.033505621130845,0.0333923256726776,0.0332784271994831,0.0331639660064726,0.0330489809986585,0.0329335097287066,0.0328175884343513,0.032701252075329,0.0325845343697881,0.0324674678301437,0.032350083798343,0.0322324124805173,0.0321144829809975,0.0319963233356726,0.0318779605446768,0.0317594206043922,0.0316407285387558,0.0315219084298645,0.0314029834478729,0.0312839758801798,0.0311649071599034,0.0310457978936452,0.0309266678885452,0.0308075361786326,0.030688421050476,0.03056934006814,0.0304503100974565,0.0303313473296162,0.0302124673040934,0.0300936849309096,0.0299750145122497,0.0298564697634408,0.029738063833304,0.0296198093238925,0.0295017183096283,0.0293838023558482,0.0292660725367747,0.0291485394529216,0.0290312132479497,0.0289141036249847,0.02879721986241,0.0286805708291487,0.0285641649994467,0.0284480104671704,0.0283321149596324,0.028216485850957,0.0281011301749989,0.0279860546378279,0.0278712656297908,0.0277567692371639,0.0276425712534075,0.0275286771900344,0.0274150922871035,0.0273018215233507,0.0271888696259672,0.0270762410800373,0.0269639401376447,0.02685197082666,0.0267403369592168,0.026629042139889,0.0265180897735772,0.0264074830731138,0.0262972250665974,0.0261873186044637,0.0260777663663024,0.0259685708674289,0.0258597344652182,0.0257512593652098,0.025643147626991,0.0255354011698659,0.0254280217783183,0.0253210111072744,0.025214370687173,0.0251081019288499,0.0250022061282427,0.0248966844709221
