Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0619096832324754,0.0635897227793241,0.0653055892629364,0.0670576705835236,0.0688463447257779,0.0706719791998161,0.0725349304822264,0.0744355434582568,0.0763741508662179,0.0783510727451911,0.0803666158871602,0.0824210732946997,0.0845147236453713,0.0866478307639903,0.0888206431039352,0.0910333932386777,0.093286297364712,0.0955795548170612,0.0979133475985332,0.100287839923886,0.102703177780051,0.105159488503548,0.107656880376192,0.110195442240177,0.112775243133598,0.115396331947407,0.118058737104808,0.120762466264003,0.123507506045196,0.126293821782698,0.129121357302906,0.131990034728897,0.134899754312323,0.137850394293179,0.140841810788036,0.143873837707172,0.146946286701037,0.150058947136369,0.153211586102231,0.156403948446148,0.159635756840458,0.162906711878901,0.166216492203409,0.169564754660973,0.172951134490372,0.176375245538511,0.17983668050599,0.183335011221489,0.186869788944463,0.190440544695572,0.194046789614199,0.197688015342353,0.201363694434174,0.205073280790197,0.208816210115492,0.212591900400717,0.216399752425074,0.220239150280137,0.224109461913425,0.228010039690605,0.231940220975141,0.235899328724184,0.239886672099467,0.243901547091952,0.247943237158947,0.252011013872403,0.25610413757709,0.26022185805735,0.264363415211096,0.26852803972978,0.272714953783005,0.276923371706501,0.28115250069219,0.285401541479075,0.289669689043729,0.293956133289154,0.298260059730853,0.302580650178934,0.306917083415154,0.311268535863805,0.315634182255405,0.320013196282198,0.324404751244496,0.328808020686953,0.333222179023905,0.337646402152959,0.342079868056054,0.346521757387268,0.350971254046716,0.355427545739899,0.359889824521936,0.364357287326172,0.368829136476672,0.373304580184191,0.377782833025248,0.382263116403977,0.386744658996486,0.391226697177488,0.395708475429031,0.400189246731176
GA,0.161596554081604,0.16327245163225,0.16494106845216,0.166601682381331,0.168253565190917,0.16989598319324,0.1715281978724,0.17314946653478,0.174759042978657,0.176356178182045,0.177940121007855,0.179510118925369,0.181065418746965,0.182605267378957,0.184128912585377,0.185635603763424,0.187124592729292,0.188595134512995,0.190046488160782,0.191477917543675,0.192888692170618,0.194278088004693,0.19564538828081,0.196989884323266,0.198310876361511,0.199607674342481,0.200879598737791,0.202125981344117,0.20334616607506,0.204539509742795,0.205705382827817,0.20684317023511,0.207952272035066,0.209032104187529,0.210082099247353,0.211101707049889,0.2120903953749,0.213047650587376,0.213972978253858,0.214865903732866,0.215725972738125,0.216552751873348,0.217345829137387,0.218104814398672,0.218829339837886,0.219519060357973,0.220173653960605,0.220792822088344,0.221376289931854,0.221923806701555,0.222435145863261,0.222910105337409,0.223348507661595,0.223750200116233,0.224115054813243,0.224442968747782,0.224733863813122,0.22498768677888,0.225204409232898,0.225384027487164,0.225526562448249,0.22563205945284,0.225700588069013,0.225732241863989,0.225727138139176,0.225685417633403,0.225607244195282,0.225492804425739,0.225342307291794,0.225155983712729,0.224934086119843,0.224676887991031,0.22438468336148,0.224057786311786,0.223696530434868,0.223301268283036,0.222872370796632,0.222410226715654,0.221915241975802,0.221387839090373,0.220828456519463,0.220237548027898,0.219615582033336,0.218963040945964,0.218280420501187,0.217568229086709,0.216826987065364,0.216057226095029,0.215259488446954,0.214434326323756,0.213582301178335,0.212703983034922,0.211799949813403,0.21087078665806,0.209917085271796,0.20893944325687,0.207938463463145,0.206914753344757,0.205868924326114,0.204801591178049
IB,0.440147867109707,0.436399813876306,0.432618993705218,0.42880643941841,0.424963204162542,0.421090360836083,0.41718900148193,0.413260236645795,0.409305194700747,0.405325021138346,0.401320877826958,0.397293942237882,0.393245406640046,0.389176477264128,0.385088373437034,0.380982326687773,0.376859579825871,0.372721385993542,0.36856900769294,0.364403715789896,0.360226788495634,0.356039510328046,0.351843171054174,0.347639064615646,0.34342848803885,0.339212740331737,0.334993121369168,0.330770930768797,0.326547466759537,0.322324025044679,0.31810189766179,0.313882371841536,0.309666728867619,0.305456242939998,0.301252180043623,0.297055796824862,0.292868339477844,0.288691042642892,0.284525128319222,0.280371804794049,0.27623226559021,0.272107688434368,0.267999234247817,0.263908046161848,0.259835248559582,0.255781946146093,0.251749223048588,0.247738141948306,0.243749743245741,0.239785044260674,0.235845038468428,0.23193069477363,0.2280429568227,0.224182742356133,0.220350942601574,0.21654842170853,0.212776016225493,0.20903453462008,0.205324756842738,0.201647433934381,0.198003287678264,0.194393010296242,0.190817264189467,0.187276681723453,0.18377186505733,0.18030338601699,0.176871786011729,0.173477575993883,0.170121236460847,0.166803217498771,0.163523938867158,0.160283790123445,0.157083130786632,0.153922290538891,0.150801569464041,0.147721238321703,0.144681538855871,0.141682684136603,0.138724858933465,0.135808220119314,0.132932897102984,0.130098992289382,0.12730658156549,0.124555714810735,0.121846416430172,0.119178685908915,0.116552498386257,0.113967805247877,0.111424534734588,0.108922592566049,0.106461862577895,0.104042207370735,0.101663468969528,0.0993254694918216,0.0970280118234023,0.0947708802999271,0.0925538413931338,0.0903766444002748,0.0882390221354528,0.0861406916215822
DF,0.0842328378206032,0.0856407358744221,0.0870591493483933,0.0884877470948281,0.089926185182012,0.0913741069674038,0.0928311431904983,0.0942969120856745,0.0957710195153062,0.0972530591233698,0.0987426125097382,0.100239249425299,0.101742527987987,0.103251994919775,0.104767185804598,0.106287625367152,0.107812827772432,0.109342296945844,0.11087552691363,0.11241200216333,0.113951198023913,0.115492581065167,0.117035609515885,0.118579733700297,0.120124396492189,0.121669033786041,0.123213074984504,0.124755943501454,0.12629705727983,0.127835829323388,0.129371668241484,0.130903978805933,0.132432162518952,0.133955618191161,0.135473742528573,0.13698593072747,0.138491577076041,0.139990075561613,0.141480820482305,0.142963207061887,0.144436632066655,0.14590049442306,0.147354195834887,0.148797141398726,0.150228740216504,0.151648406003844,0.153055557693039,0.154449620029411,0.155830024159882,0.157196208212578,0.158547617866322,0.159883706908906,0.161203937783049,0.162507782119005,0.163794721252808,0.165064246729193,0.166315860788273,0.167549076835106,0.168763419891325,0.169958427028075,0.171133647779538,0.172288644536398,0.173422992918648,0.174536282127197,0.175628115273816,0.176698109688995,0.177745897207363,0.178771124430377,0.179773452966066,0.180752559645635,0.181708136716848,0.182639892014127,0.18354754910539,0.184430847415691,0.185289542327784,0.186123405259812,0.186932223720328,0.187715801340955,0.188473957887012,0.189206529246475,0.18991336739772,0.190594340356499,0.19124933210265,0.191878242487109,0.192480987119763,0.19305749723879,0.193607719562091,0.19413161612149,0.19462916408039,0.195100355535576,0.195545197303899,0.195963710694569,0.196355931267807,0.196721908580622,0.197061705920461,0.197375400027515,0.197663080806444,0.19792485102829,0.198160826023359,0.198371133365806
Nat,0.0710393460376243,0.0695922724107228,0.06816448406744,0.0667559492269196,0.0653666326546691,0.0639964956282675,0.0626454959048466,0.0613135876904989,0.0600007216117646,0.0587068446893481,0.0574319003142146,0.056175828226212,0.0549385644953624,0.0537200415059638,0.0525201879436368,0.0513389287854478,0.0501761852932353,0.0490318750102569,0.0479059117612736,0.0467982056561743,0.0457086630972423,0.0446371867901527,0.0435836757587839,0.0425480253639163,0.0415301273258829,0.0405298697512242,0.0395471371633941,0.0385818105375481,0.0376337673394383,0.0367028815684261,0.0357890238046143,0.0348920612600869,0.0340118578342354,0.0331482741731383,0.0323011677329477,0.0314703928472272,0.0306558007981737,0.0298572398916424,0.0290745555358862,0.0283075903239082,0.0275561841193142,0.0268201741455461,0.0260993950783611,0.0253936791414189,0.0247028562048233,0.0240267538864634,0.0233651976559835,0.0227180109412116,0.022085015236863,0.0214660302153336,0.020860873839389,0.0202693624765539,0.0196913110149984,0.0191265329807175,0.0185748406557956,0.0180360451975462,0.0175099567583161,0.0169963846057423,0.0164951372432496,0.0160060225305793,0.0155288478041386,0.0150634199969648,0.0146095457581,0.0141670315711746,0.0137356838720052,0.0133153091650134,0.0129057141382799,0.0125067057770535,0.0121180914755389,0.0117396791467985,0.0113712773306053,0.0110126952990951,0.0106637431600728,0.010324231957836,0.00999397377138786,0.00967278180991845,0.00936047050544562,0.00905685560251194,0.00876175424484601,0.00847498505890426,0.00819636823421922,0.00792572560048889,0.00766288070135156,0.007407658864799,0.00715988727019022,0.00691939501183664,0.00668601315913818,0.00645957481325824,0.0062399151603338,0.0060268715212245,0.00582028339781291,0.00561999251587476,0.00542584286454564,0.00523768073241725,0.00505535474030243,0.00487871587071493,0.0047076174941147,0.00454191539197595,0.00438146777673908,0.0042261353087133
S1P,0.0724409968590475,0.0727738373979813,0.0730972780411653,0.073411115622414,0.0737151504798013,0.074009186702964,0.0742930323800259,0.0745664998436655,0.0748294059158369,0.075081572150644,0.0753228250748628,0.0755529964255977,0.0757719233845529,0.0759794488083981,0.0761754214547038,0.0763596962029235,0.0765321342698996,0.0766926034193749,0.0768409781649949,0.0769771399662957,0.0771009774171774,0.0772123864263778,0.0773112703894694,0.0773975403519204,0.0774711151627751,0.0775319216185259,0.0775798945967716,0.0776149771792742,0.0776371207640538,0.0776462851661809,0.0776424387069553,0.0776255582911862,0.077595629472317,0.0775526465051684,0.0774966123861042,0.0774275388804561,0.0773454465370771,0.0772503646899246,0.0771423314466111,0.0770213936638927,0.0768876069101011,0.0767410354145595,0.0765817520040575,0.0764098380264962,0.0762253832618458,0.0760284858205963,0.0758192520299111,0.0755977963077293,0.075364241025092,0.075118716357,0.0748613601221385,0.074592317611835,0.0743117414086413,0.0740197911949571,0.0737166335521373,0.0734024417505463,0.0730773955310433,0.072741680878403,0.0723954897871896,0.0720390200206216,0.0716724748629732,0.0712960628660735,0.0709099975904698,0.0705144973418312,0.0701097849031725,0.0696960872634816,0.0692736353433345,0.0688426637180814,0.0684034103391841,0.0679561162542808,0.0675010253265474,0.0670383839539164,0.0665684407887054,0.0660914464581928,0.0656076532866703,0.0651173150194821,0.0646206865495492,0.0641180236468575,0.063609582691371,0.0630956204098146,0.0625763936167468,0.0620521589603254,0.0615231726731464,0.0609896903285137,0.0604519666024761,0.0599102550419429,0.0593648078391693,0.0588158756128753,0.0582637071962429,0.0577085494320074,0.057150646974842,0.0565902421012037,0.0560275745267928,0.0554628812317504,0.0548963962936995,0.054328350728711,0.0537589723402554,0.0531884855761825,0.052617111393747,0.0520450671326835
AL,0.108632714858938,0.108731166028994,0.108813437122687,0.108879395672574,0.10892891760428,0.108961887472225,0.108978198688073,0.108977753741328,0.10896046441147,0.108926251971056,0.108875047379211,0.108806791464941,0.108721435099716,0.108618939358787,0.108499275670715,0.108362425954602,0.108208382744558,0.108037149300926,0.107848739707846,0.107643178956743,0.107420503015364,0.107180758882015,0.106924004624686,0.106650309404778,0.106359753485194,0.106052428222583,0.105728436043564,0.105387890404807,0.105030915736884,0.104657647371833,0.104268231454435,0.103862824837251,0.103441594959489,0.103004719709826,0.102552387273364,0.102084795962923,0.101602154034927,0.101104679490183,0.100592599859887,0.100066151977248,0.0995255817351361,0.0989711438302179,0.0984031014940806,0.0978217262118666,0.0972272974289884,0.0966201022465189,0.0960004351058839,0.0953685974635091,0.0947248974561049,0.0940696495572875,0.0934031742262627,0.0927257975493125,0.0920378508748421,0.0913396704427568,0.0906315970089495,0.0899139754656857,0.0891871544586791,0.0884514860016522,0.0877073250891753,0.086955029308575,0.0861949584516968,0.0854274741272977,0.0846529393748353,0.0838717182804034,0.0830841755955529,0.0822906763597142,0.0814915855269217,0.0806872675975154,0.0798780862554739,0.0790644040120048,0.0782465818559939,0.0774249789118847,0.0765999521055302,0.0757718558385283,0.0749410416715194,0.0741078580168937,0.0732726498413215,0.0724357583784838,0.0715975208523503,0.0707582702113146,0.0699183348734614,0.0690780384832084,0.0682376996795286,0.0673976318759266,0.0665581430523076,0.0657195355588462,0.0648821059319273,0.0640461447222029,0.0632119363347751,0.0623797588814878,0.0615498840452798,0.0607225769565237,0.0598980960812514,0.0590766931211373,0.0582586129250911,0.0574440934122847,0.0566333655064216,0.0558266530810311,0.0550241729155571,0.0542261346619896
IB to S1P,0.0270691868980586,0.0270695482241574,0.0270691580031128,0.0270680394607901,0.0270662151612766,0.0270637070211731,0.0270605363239121,0.0270567237340738,0.0270522893116708,0.0270472525263773,0.0270416322716765,0.0270354468789088,0.0270287141311985,0.0270214512772426,0.027013675044947,0.0270054016548942,0.026996646833632,0.0269874258267711,0.0269777534118821,0.0269676439111838,0.026957111204015,0.0269461687390843,0.0269348295464927,0.0269231062495235,0.0269110110761983,0.026898555870594,0.0268857521039212,0.0268726108853615,0.0268591429726627,0.0268453587824932,0.0268312684005551,0.0268168815914572,0.0268022078083488,0.026787256202317,0.0267720356315483,0.0267565546702581,0.0267408216173893,0.0267248445050848,0.0267086311069348,0.0266921889460041,0.0266755253026416,0.0266586472220761,0.0266415615218019,0.0266242747987586,0.0266067934363081,0.0265891236110134,0.0265712712992231,0.0265532422834656,0.0265350421586572,0.026516676338128,0.02649815005947,0.0264794683902113,0.026460636233321,0.0264416583325477,0.0264225392775975,0.0264032835091534,0.0263838953237422,0.0263643788784513,0.0263447381954996,0.0263249771666676,0.0263050995575882,0.0262851090119043,0.026265009055295,0.0262448030993758,0.0262244944454743,0.0262040862882867,0.0261835817194172,0.0261629837308051,0.0261422952180408,0.0261215189835762,0.0261006577398308,0.0260797141121976,0.0260586906419512,0.026037589789062,0.0260164139349177,0.0259951653849564,0.0259738463712135,0.0259524590547846,0.0259310055282078,0.0259094878177669,0.0258879078857192,0.025866267632449,0.02584456889855,0.0258228134668384,0.0258010030642988,0.025779139363966,0.0257572239867431,0.0257352585031594,0.025713244435069,0.0256911832572933,0.0256690763992069,0.0256469252462718,0.0256247311415189,0.02560249538698,0.0255802192450713,0.0255579039399303,0.0255355506587078,0.0255131605528152,0.0254907347391306,0.0254682743011637
S1P to BcD,0.079245234071846,0.0783694937066244,0.077500449938168,0.0766381344425975,0.0757825761100578,0.0749338011043762,0.0740918329228117,0.0732566924558332,0.0724283980468639,0.0716069655519362,0.0707924083992011,0.0699847376482373,0.0691839620491134,0.0683900881011519,0.067603120111351,0.0668230602524216,0.0660499086203979,0.065283663291783,0.0645243203801949,0.0637718740924766,0.063026316784241,0.0622876390148183,0.06155582960158,0.0608308756736134,0.0601127627247219,0.0594014746657301,0.0586969938760732,0.0579993012546522,0.0573083762699376,0.0566241970093083,0.0559467402276093,0.0552759813949194,0.0546118947435151,0.0539544533140242,0.0533036290007596,0.0526593925962271,0.0520217138348021,0.0513905614355712,0.0507659031443345,0.0501477057747683,0.0495359352487456,0.0489305566358157,0.0483315341918432,0.0477388313968075,0.0471524109917673,0.0465722350149912,0.0459982648372607,0.0454304611963481,0.0448687842306771,0.0443131935121706,0.0437636480782925,0.0432201064632918,0.0426825267286545,0.0421508664927745,0.0416250829598482,0.0411051329480058,0.0405909729166853,0.0400825589932607,0.0395798469989335,0.0390827924738982,0.0385913507017924,0.0381054767334407,0.0376251254099055,0.0371502513848542,0.0366808091462541,0.0362167530374072,0.0357580372773356,0.0353046159805286,0.0348564431760647,0.034413472826118,0.0339756588438629,0.0335429551107867,0.0331153154934233,0.0326926938595193,0.0322750440936439,0.0318623201122539,0.0314544758782272,0.0310514654148737,0.0306532428194369,0.030259762276098,0.0298709780684914,0.0294868445917454,0.0291073163640583,0.0287323480378201,0.0283618944102919,0.0279959104338535,0.0276343512258288,0.0272771720779014,0.0269243284651294,0.0265757760545695,0.0262314707135219,0.0258913685174045,0.0255554257572669,0.0252235989469541,0.0248958448299287,0.0245721203857612,0.0242523828362985,0.0239365896515176,0.0236246985550762,0.0233166675295654
IB to DF,0.089482803623544,0.0891927908417409,0.0889012497211858,0.0886082773437501,0.0883139674953272,0.0880184107563161,0.0877216945908881,0.0874239034349484,0.0871251187827168,0.086825419271859,0.0865248807671126,0.0862235764423563,0.0859215768610834,0.0856189500552437,0.0853157616024286,0.085012074701376,0.0847079502457829,0.0844034468964132,0.084098621151497,0.0837935274154203,0.0834882180657084,0.0831827435183101,0.082877152291193,0.0825714910662622,0.0822658047496196,0.0819601365301809,0.0816545279366712,0.0813490188930207,0.081043647772185,0.0807384514484154,0.0804334653480043,0.080128723498535,0.079824258576663,0.0795201019544589,0.0792162837443419,0.0789128328426344,0.0786097769717687,0.0783071427211763,0.0780049555868906,0.0777032400098945,0.0774020194132439,0.0771013162379976,0.0768011519779851,0.0765015472134419,0.0762025216435445,0.0759040941178726,0.0756062826668298,0.0753091045310526,0.0750125761898339,0.0747167133885932,0.0744215311654175,0.0741270438767029,0.0738332652219236,0.0735402082675529,0.0732478854701643,0.0729563086987356,0.0726654892561837,0.0723754379001506,0.0720861648630673,0.071797679871517,0.0715099921649199,0.0712231105135628,0.0709370432359933,0.0706517982157996,0.0703673829177976,0.0700838044036419,0.0698010693468838,0.0695191840474906,0.0692381544458469,0.0689579861362557,0.0686786843799534,0.0684002541176589,0.0681226999816689,0.0678460263075194,0.0675702371452233,0.0672953362701029,0.0670213271932292,0.0667482131714826,0.0664759972172469,0.0662046821077514,0.0659342703940715,0.0656647644098015,0.0653961662794096,0.0651284779262877,0.0648617010805058,0.0645958372862825,0.0643308879091804,0.0640668541430376,0.0638037370166441,0.0635415374001717,0.0632802560113676,0.063019893421519,0.0627604500611971,0.06250192622579,0.0622443220808293,0.0619876376671208,0.0617318729056843,0.0614770276025106,0.0612231014531425,0.0609700940470843
