Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0452151544672726,0.0465820424021113,0.0479829886779582,0.0494185275918618,0.050889188451385,0.0523954949103826,0.0539379642913908,0.0555171068955507,0.0571334253010548,0.0587874136511806,0.0604795569330437,0.062210330248272,0.0639801980768718,0.0657896135356213,0.0676390176323925,0.0695288385178626,0.0714594907361338,0.0734313744758384,0.0754448748233541,0.0775003610198032,0.0795981857235515,0.0817386842799616,0.0839221740001856,0.0861489534508113,0.0884193017561945,0.090733477915328,0.093091720135102,0.095494245181815,0.0979412477527871,0.100432899869915,0.102969350296988,0.105550723982555,0.108177121530101,0.110848618697242,0.113565265925603,0.116327087902981,0.119134083159336,0.12198622369807,0.124883454663975,0.127825694049165,0.130812832438177,0.133844732793352,0.136921230281509,0.140042132142766,0.143207217602324,0.146416237825819,0.149668915918799,0.152964946970712,0.156303998143661,0.159685708806082,0.163109690711316,0.16657552822095,0.170082778572653,0.173630972192088,0.177219613048358,0.180848179052306,0.184516122496859,0.188222870538472,0.191967825718623,0.195750366524153,0.199569847985182,0.203425602309167,0.207316939549602,0.211243148307754,0.215203496465727,0.21919723194907,0.223223583517079,0.227281761578846,0.231370959033089,0.235490352129705,0.239639101350968,0.243816352310261,0.248021236666179,0.25225287304986,0.256510368003361,0.260792816926906,0.265099305032845,0.269428908304176,0.273780694455495,0.278153723894285,0.282547050680486,0.286959723482336,0.291390786526508,0.295839280540665,0.300304243686563,0.304784712481954,0.309279722709577,0.313788310311621,0.318309512268115,0.322842367457792,0.327385917500063,0.33193920757681,0.336501287232824,0.341071211153778,0.345648039920749,0.35023084074037,0.354818688149805,0.35941066469582,0.364005861587332,0.368603379320896
GA,0.0908656986758653,0.0920845873898447,0.0933057018023832,0.0945285854459899,0.0957527710552239,0.096977780800052,0.0982031265422763,0.0994283101152703,0.100652823627209,0.101876149787919,0.103097762259407,0.104317126030077,0.105533697812557,0.106746926465003,0.10795625343567,0.109161113230466,0.110360933903133,0.11155513756761,0.112743140932074,0.113924355854056,0.115098189915962,0.116264047020246,0.117421328003393,0.118569431267808,0.119707753430612,0.120835689988278,0.121952635995962,0.123057986760308,0.124151138544443,0.125231489283804,0.126298439311369,0.127351392090821,0.128389754956106,0.129412939855783,0.130420364100553,0.131411451112263,0.132385631172701,0.133342342170415,0.134281030343803,0.135201151018691,0.136102169338603,0.136983560985929,0.137844812892196,0.138685423935661,0.13950490562447,0.140302782763631,0.141078594104107,0.141831892972355,0.142562247878696,0.143269243102946,0.143952479255801,0.144611573814542,0.145246161631678,0.145855895415256,0.146440446179614,0.146999503665471,0.147532776728327,0.148039993694244,0.148520902682182,0.148975271892177,0.149402889858734,0.149803565668939,0.150177129144899,0.150523430990207,0.150842342900295,0.151133757636581,0.15139758906449,0.151633772155504,0.151842262953502,0.152023038505789,0.152176096759284,0.152301456422449,0.152399156793648,0.152469257556698,0.152511838544489,0.152526999471598,0.152514859636946,0.152475557597571,0.152409250814704,0.152316115273364,0.152196345076755,0.15205015201681,0.151877765122252,0.15167943018558,0.151455409270455,0.151205980200918,0.150931436033972,0.150632084517003,0.150308247531571,0.149960260525066,0.14958847193176,0.149193242584738,0.148774945120194,0.148333963375562,0.147870691782924,0.147385534759097,0.146878906093786,0.146351228337143,0.145802932188027,0.145234455884237
IB,0.479673734255309,0.477021606858905,0.474312341352703,0.471546511982098,0.468724727711558,0.465847632350346,0.462915904636405,0.459930258276814,0.456891441943295,0.453800239221307,0.450657468511337,0.447463982881073,0.444220669867232,0.440928451225907,0.437588282630413,0.434201153315702,0.430768085668543,0.427290134762806,0.423768387839284,0.420203963729669,0.416598012224404,0.412951713384313,0.409266276796065,0.405542940771663,0.401782971492356,0.397987662097519,0.394158331719211,0.390296324463326,0.386403008338404,0.382479774133356,0.378528034245541,0.374549221460801,0.370544787687247,0.366516202644743,0.362464952512234,0.358392538535205,0.354300475595723,0.350190290747676,0.34606352171997,0.341921715390563,0.337766426234379,0.333599214748229,0.329421645856017,0.325235287297553,0.321041708004449,0.316842476466586,0.312639159092741,0.308433318569008,0.304226512218656,0.300020290367123,0.295816194715821,0.291615756728451,0.287420496033456,0.283231918846275,0.279051516414925,0.274880763492452,0.270721116839657,0.266574013761431,0.262440870679938,0.258323081747751,0.254222017503907,0.250139023575746,0.246075419429192,0.242032497170026,0.238011520398481,0.23401372311936,0.230040308709651,0.226092448945437,0.222171283089723,0.21827791704256,0.214413422554676,0.210578836505612,0.206775160247141,0.20300335901255,0.199264361392172,0.195559058875331,0.191888305458667,0.18825291732063,0.18465367256171,0.181091311009816,0.177566534090007,0.174080004757619,0.170632347493682,0.167224148361325,0.163855955121756,0.160528277408243,0.157241586956404,0.153996317888977,0.150792867053161,0.147631594408475,0.144512823463051,0.141436841756129,0.13840390138453,0.135414219570748,0.132467979270324,0.129565329816075,0.126706387596757,0.123891236767707,0.121119929991003,0.118392489202691
DF,0.0752946614121538,0.0767837467839436,0.0782904297896184,0.0798144990116463,0.0813557257437627,0.082913863763814,0.0844886491267395,0.0860797999788386,0.0876870163944524,0.0893099802361727,0.0909483550396658,0.0926017859241689,0.0942698995296838,0.0959523039818518,0.0976485888854522,0.099358325347413,0.10108106603017,0.102816345236152,0.104563679024097,0.10632256535785,0.108092484288193,0.109872898168208,0.111663251902559,0.113462973231017,0.115271473046445,0.117088145747354,0.118912369625076,0.120743507285448,0.122580906104847,0.124423898720258,0.126271803552994,0.128123925365538,0.129979555850893,0.131837974253692,0.133698448022224,0.135560233490423,0.137422576588726,0.139284713582656,0.141145871837814,0.143005270609916,0.144862121858382,0.146715631081899,0.148564998174294,0.150409418298952,0.152248082779967,0.1540801800081,0.155904896359588,0.157721417125769,0.15952892745144,0.161326613279829,0.163113662302015,0.164889264908606,0.166652615141477,0.168402911643338,0.170139358602922,0.171861166693579,0.173567554003071,0.17525774695241,0.17693098120159,0.178586502540117,0.180223567760292,0.181841445511259,0.183439417131883,0.185016777460617,0.186572835620583,0.188106915778176,0.189618357873591,0.191106518321794,0.192570770682521,0.194010506298023,0.195425134897381,0.196814085166325,0.198176805281602,0.199512763409072,0.200821448164807,0.20210236903862,0.203355056779538,0.204579063742882,0.205773964198712,0.206939354601537,0.208074853821285,0.209180103335657,0.210254767384092,0.21129853308367,0.212311110507406,0.213292232725467,0.214241655809941,0.215159158803882,0.216044543655447,0.216897635117998,0.217718280617145,0.218506350085742,0.219261735767944,0.219984351993458,0.220674134923197,0.221331042267579,0.22195505297874,0.222546166917997,0.223104404499881,0.223629806314116
Nat,0.140818257941385,0.138365299706637,0.135934492462146,0.133526015577018,0.131140044448916,0.128776750357443,0.126436300315395,0.124118856918115,0.121824578191194,0.119553617436798,0.117306123078886,0.115082238507633,0.112882101923374,0.110705846180376,0.108553598630814,0.106425480969286,0.104321609078242,0.102242092874713,0.100187036158729,0.0981565364638336,0.0961506849100904,0.0941695660600215,0.0922132577778805,0.0902818310926994,0.0883753500655334,0.0864938716613372,0.0846374456259011,0.0828061143682756,0.080999912849107,0.079218868475302,0.0774630010014315,0.075732322438272,0.0740268369688752,0.0723465408725384,0.0706914224570393,0.0690614619994742,0.0674566316960276,0.0658768956209745,0.0643222096951996,0.0627925216644901,0.0612877710878357,0.0598078893359436,0.0583527996001462,0.0569224169118529,0.0555166481726643,0.0541353921952407,0.0527785397549804,0.0514459736525339,0.0501375687871471,0.0488531922407932,0.0475927033730184,0.0463559539263972,0.0451427881424554,0.0439530428878896,0.0427865477908793,0.0416431253872545,0.0405225912762531,0.0394247542855726,0.0383494166453901,0.0372963741710001,0.0362654164536913,0.0352563270594615,0.0342688837351449,0.0333028586215073,0.0323580184728434,0.031434124882595,0.0305309345144932,0.0296481993387143,0.0287856668725276,0.0279430804249063,0.0271201793445632,0.0263166992708705,0.0255323723871198,0.0247669276755772,0.0240200911737909,0.0232915862316132,0.0225811337684021,0.0218884525298784,0.0212132593441207,0.0205552693761951,0.0199141963809248,0.019289752953326,0.018681650776244,0.0180896008647492,0.017513313806864,0.0169525000002168,0.0164068698842351,0.0158761341675165,0.0153600040500326,0.0148581914398493,0.0143704091640659,0.0138963711737026,0.0134357927422868,0.0129883906579155,0.0125538834085932,0.0121319913606698,0.0117224369302259,0.0113249447472786,0.0109392418127001,0.0105650576477687
S1P,0.100274711274931,0.101038859646892,0.101793421678858,0.102537972979382,0.103272088417653,0.103995342546801,0.10470731003935,0.105407566134307,0.106095687095366,0.106771250679584,0.107433836615912,0.108083027092845,0.108718407254455,0.109339565703991,0.109946095014194,0.110537592243417,0.111113659456609,0.111673904250164,0.112217940279592,0.112745387788952,0.113255874140902,0.113749034346255,0.114224511591818,0.11468195776534,0.115121033976311,0.115541411071366,0.115942770143022,0.116324803030466,0.116687212811094,0.117029714281523,0.117352034426765,0.117653912876291,0.117935102345712,0.118195369062815,0.118434493176721,0.118652269148972,0.118848506125364,0.119023028287392,0.119175675182232,0.119306302030198,0.11941478000871,0.119500996511826,0.119564855384479,0.119606277130624,0.119625199094566,0.119621575614804,0.119595378149845,0.119546595375465,0.119475233253032,0.119381315068555,0.119264881442238,0.119125990308387,0.118964716865625,0.118781153497449,0.118575409663267,0.118347611760142,0.118097902955546,0.117826442991538,0.117533407960865,0.117218990055545,0.116883397288618,0.116526853189796,0.116149596475834,0.115751880696519,0.115333973857247,0.114896158019206,0.114438728878277,0.113961995323776,0.113466278978263,0.112951913719639,0.112419245186838,0.111868630270417,0.11130043658941,0.110715041955811,0.110112833828075,0.109494208755057,0.10885957181178,0.108209336028466,0.107543921814216,0.106863756376757,0.106169273139631,0.105460911158191,0.104739114535742,0.104004331841147,0.103257015529163,0.102497621364762,0.101726607852624,0.100944435672968,0.100151567124827,0.099348465577814,0.0985355949334134,0.097713419096715,0.0968824014595123,0.0960430043955881,0.0951956887689725,0.0943409134558874,0.0934791348810379,0.0926108065688463,0.0917363787101661,0.0908562977449504
AL,0.0678577819730826,0.0681238572116663,0.0683806242363327,0.0686278874120035,0.0688654541715018,0.0690931352711616,0.0693107450484441,0.0695181016811044,0.0697150274474284,0.0699013489870384,0.0700768975617488,0.0702415093159304,0.0703950255358271,0.0705372929072505,0.0706681637710639,0.0707874963758529,0.0708951551271686,0.0709910108327177,0.0710749409428692,0.0711468297858371,0.0712065687968974,0.0712540567409954,0.0712891999280995,0.0713119124206615,0.0713221162325478,0.0713197415188171,0.0713047267557256,0.0712770189103611,0.0712365735993172,0.0711833552358418,0.071117337164913,0.0710385017857215,0.0709468406610649,0.0708423546131864,0.0707250538056259,0.0705949578106822,0.0704520956621226,0.0702965058928168,0.0701282365570075,0.0699473452369776,0.0697538990339145,0.0695479745428206,0.0693296578113604,0.0690990442825904,0.0688562387215593,0.0686013551258193,0.0683345166199393,0.0680558553341582,0.0677655122673692,0.0674636371346734,0.067150388199791,0.0668259320926673,0.0664904436126552,0.0661441055177051,0.0657871083000347,0.0654196499487947,0.0650419357002872,0.0646541777763324,0.0642565951114122,0.063849413069258,0.0634328631495755,0.0630071826856308,0.0625726145334454,0.0621294067533696,0.061677812284824,0.0612180886150117,0.0607504974424191,0.0602753043359282,0.0597927783903743,0.0593031918793787,0.0588068199062906,0.0583039400540655,0.0577948320348999,0.0572797773404319,0.0567590588933052,0.0562329607008758,0.0557017675118217,0.0551657644763968,0.0546252368110423,0.0540804694680465,0.0535317468109116,0.0529793522960607,0.05242356816148,0.0518646751228643,0.0513029520777944,0.05073867581844,0.0501721207532475,0.0496035586380306,0.0490332583168476,0.0484614854730058,0.0478885023905022,0.0473145677261624,0.0467399362927095,0.0461648588529518,0.0455895819252415,0.0450143476003227,0.0444393933696478,0.043864951965208,0.0432912512108904,0.0427185138853407
IB to S1P,0.0459345017273999,0.0459616113400825,0.0459864597562427,0.0460091135160311,0.0460296376092322,0.0460480954837923,0.0460645490565358,0.0460790587258784,0.0460916833863576,0.0461024804448081,0.0461115058380221,0.0461188140517394,0.0461244581408258,0.0461284897505036,0.0461309591385073,0.0461319151980451,0.0461314054814562,0.0461294762244585,0.0461261723708914,0.0461215375978618,0.0461156143412117,0.0461084438212275,0.0461000660685221,0.0460905199500212,0.0460798431949938,0.0460680724210715,0.0460552431602046,0.0460413898845082,0.0460265460319566,0.0460107440318856,0.0459940153302692,0.0459763904147386,0.0459578988393146,0.0459385692488293,0.0459184294030133,0.0458975062002295,0.0458758257008362,0.0458534131501631,0.0458302930010895,0.0458064889362113,0.04578202388959,0.0457569200680738,0.0457311989721875,0.0457048814165842,0.0456779875500576,0.0456505368751126,0.0456225482670916,0.0455940399928596,0.0455650297290469,0.0455355345798524,0.0455055710944096,0.0454751552837196,0.045444302637154,0.0454130281385329,0.0453813462817833,0.0453492710861819,0.0453168161111908,0.0452839944708893,0.0452508188480104,0.0452173015075885,0.0451834543102235,0.0451492887249713,0.0451148158418651,0.0450800463840774,0.0450449907197284,0.0450096588733486,0.044974060537005,0.0449382050810954,0.0449021015648216,0.0448657587463468,0.044829185092646,0.0447923887890566,0.0447553777485367,0.0447181596206384,0.0446807418002037,0.0446431314357904,0.044605335437834,0.044567360486555,0.0445292130396155,0.0444908993395353,0.044452425420871,0.0444137971171672,0.044375020067685,0.0443360997239147,0.0442970413558782,0.0442578500582282,0.04421853075615,0.0441790882110705,0.044139527026182,0.044099851651785,0.0440600663904556,0.0440201754020441,0.0439801827085076,0.0439400921985842,0.0438999076323119,0.0438596326453981,0.0438192707534434,0.043778825356025,0.043738299740644,0.043697697086541
S1P to BcD,0.0705655114602482,0.0697178610309906,0.0688787900511781,0.0680482561749159,0.0672262159182862,0.0664126247071227,0.0656074369238496,0.0648106059533849,0.0640220842281078,0.0632418232718914,0.0624697737432027,0.0617058854772719,0.0609501075273369,0.0602023882049638,0.0594626751194522,0.0587309152163286,0.0580070548149348,0.0572910396451188,0.0565828148830358,0.0558823251860662,0.0551895147268604,0.0545043272265191,0.0538267059869178,0.0531565939221863,0.0524939335893526,0.0518386672181623,0.0511907367400834,0.0505500838165089,0.0499166498661671,0.0492903760917518,0.0486712035057844,0.0480590729557195,0.0474539251483051,0.0468557006732119,0.0462643400259415,0.0456797836300274,0.0451019718585406,0.0445308450549131,0.0439663435530905,0.0434084076970275,0.0428569778595386,0.0423119944605161,0.0417733979845286,0.0412411289978119,0.0407151281646656,0.0401953362632669,0.039681694200915,0.0391741430287171,0.03867262395573,0.0381770783625675,0.037687447814487,0.0372036740739667,0.0367256991127851,0.0362534651236155,0.0357869145311446,0.0353259900027301,0.0348706344586058,0.034420791081646,0.0339764033267017,0.0335374149295172,0.0331037699152399,0.0326754126065317,0.0322522876312949,0.0318343399300205,0.0314215147627705,0.0310137577158037,0.0306110147078545,0.0302132319960742,0.0298203561816452,0.0294323342150757,0.0290491134011857,0.0286706414037924,0.0282968662501029,0.0279277363348248,0.0275632004240013,0.0272032076585796,0.0268477075577215,0.0264966500218627,0.0261499853355293,0.0258076641699198,0.025469637585258,0.0251358570329267,0.0248062743573866,0.0244808417978897,0.0241595119899924,0.0238422379668755,0.0235289731604778,0.0232196714024493,0.0229142869249301,0.0226127743611613,0.022315088745934,0.022021185515881,0.0217310205096186,0.0214445499677425,0.0211617305326835,0.0208825192484284,0.0206068735601115,0.0203347513134805,0.0200661107542428,0.0198009105272963
IB to DF,0.0589749795066664,0.0588177501666811,0.058658035327798,0.0584959468175805,0.0583315932161893,0.0581650799090745,0.0579965091418373,0.057825980076964,0.0576535888521545,0.0574794286399873,0.057303589708679,0.0571261594837146,0.0569472226101417,0.0567668610153348,0.0565851539720547,0.0564021781616378,0.056218007737167,0.0560327143864874,0.0558463673949407,0.0556590337077055,0.0554707779916411,0.0552816626965404,0.0550917481157102,0.0549010924458031,0.054709751845835,0.0545177804953304,0.054325230651542,0.0541321527057029,0.0539385952382704,0.0537446050731297,0.0535502273307305,0.0533555054801333,0.0531604813899487,0.0529651953781544,0.0527696862607821,0.0525739913994662,0.0523781467478528,0.0521821868968677,0.0519861451188465,0.0517900534105325,0.0515939425349481,0.05139784206215,0.0512017804088787,0.0510057848771154,0.0508098816915586,0.0506140960360383,0.0504184520888804,0.0502229730572421,0.050027681210434,0.0498325979122478,0.0496377436523099,0.0494431380764798,0.049248800016313,0.0490547475176105,0.0488609978680733,0.0486675676240849,0.0484744726366408,0.0482817280764472,0.0480893484582092,0.0478973476641293,0.0477057389666374,0.0475145350503718,0.0473237480334327,0.047133389487928,0.04694347045983,0.046754001488165,0.0465649926235527,0.046376453446116,0.046188393082779,0.0460008202239719,0.0458137431397604,0.0456271696954179,0.0454411073664564,0.0452555632531347,0.0450705440944586,0.0448860562816905,0.0447021058713831,0.0445186985979534,0.044335839885811,0.0441535348610561,0.0439717883627606,0.0437906049538464,0.0436099889315744,0.0434299443376567,0.0432504749680057,0.0430715843821307,0.0428932759121958,0.0427155526717493,0.0425384175641363,0.0423618732906057,0.0421859223581211,0.0420105670868878,0.0418358096176035,0.0416616519184441,0.0414880957917923,0.0413151428807202,0.0411427946752326,0.0409710525182798,0.040799917611549,0.040629391021042
