Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0900707423829981,0.089856066988632,0.0896353806440425,0.089408760860049,0.0891762856383232,0.0889380334335752,0.0886940831167136,0.0884445139389822,0.0881894054970713,0.0879288376992027,0.0876628907321838,0.0873916450294259,0.0871151812399204,0.0868335801981641,0.0865469228950256,0.0862552904495404,0.0859587640816251,0.085657425085697,0.085351354805185,0.0850406346079187,0.0847253458623786,0.084405569914793,0.0840813880670628,0.0837528815554985,0.0834201315303498,0.0830832190361106,0.0827422249925788,0.0823972301766527,0.0820483152048434,0.0816955605164839,0.0813390463576133,0.0809788527655167,0.0806150595539,0.0802477462986781,0.0798769923243565,0.0795028766909846,0.0791254781816618,0.0787448752905726,0.0783611462115336,0.0779743688270291,0.0775846206977169,0.0771919790523835,0.0767965207783285,0.0763983224121598,0.0759974601309796,0.0755940097439422,0.0751880466841654,0.0747796460009777,0.074368882352482,0.0739558299984204,0.0735405627933216,0.0731231541799151,0.0727036771827959,0.0722822044023241,0.0718588080087444,0.0714335597365104,0.0710065308788007,0.0705777922822115,0.0701474143416137,0.0697154669951619,0.0692820197194428,0.0688471415247511,0.0684109009504834,0.0679733660606372,0.0675346044394073,0.0670946831868691,0.0666536689147395,0.0662116277422078,0.0657686252918287,0.0653247266854693,0.064879996540304,0.0644344989648506,0.0639882975550422,0.0635414553903289,0.063094035029805,0.0626460985083577,0.0621977073328319,0.0617489224782098,0.061299804383801,0.0608504129494404,0.0604008075316929,0.059951046940063,0.0595011894332065,0.0590512927151466,0.0586014139314905,0.058151609665649,0.0577019359350585,0.057252448187406,0.0568032012968577,0.056354249560294,0.0559056466935509,0.0554574458276707,0.0550096995051643,0.0545624596762868,0.0541157776953297,0.0536697043169337,0.0532242896924225,0.0527795833661651,0.052335634271966,0.0518924907294906
GA,0.088295025480241,0.089682285799108,0.0910847141882412,0.0925023738896555,0.0939353268659149,0.0953836337631929,0.0968473538738073,0.0983265450982536,0.0998212639067533,0.101331565300343,0.102857502771524,0.1043991282645,0.105956492135027,0.107529643109893,0.109118628246077,0.110723492889582,0.112344280634004,0.113981033278844,0.115633790787607,0.117302591245704,0.118987470818216,0.120688463707518,0.122405602110832,0.124138916177715,0.125888433967537,0.127654181406974,0.12943618224756,0.131234458023329,0.133049028008589,0.134879909175868,0.136727116154065,0.138590661186852,0.140470554091367,0.142366802217229,0.144279410405934,0.146208380950652,0.148153713556484,0.150115405301213,0.15209345059659,0.154087841150203,0.156098565927966,0.158125611117272,0.160168960090856,0.162228593371411,0.164304488596983,0.16639662048722,0.168504960810486,0.170629478351896,0.172770138882319,0.17492690512838,0.177099736743502,0.179288590280048,0.18149341916257,0.183714173662243,0.18595080087249,0.188203244685863,0.190471445772193,0.192755341558077,0.195054866207707,0.1973699506051,0.199700522337752,0.202046505681756,0.204407821588414,0.206784387672374,0.209176118201328,0.211582924087295,0.214004712879523,0.216441388759033,0.218892852534829,0.221359001641815,0.223839730140412,0.226334928717932,0.228844484691702,0.231368282013973,0.233906201278619,0.236458119729659,0.239023911271599,0.241603446481616,0.244196592623587,0.24680321366399,0.249423170289659,0.25205631992742,0.254702516765599,0.257361611777408,0.260033452746217,0.262717884292689,0.265414747903802,0.268123881963726,0.270845121786572,0.27357829965098,0.276323244836552,0.279079783662113,0.281847739525777,0.284626932946808,0.28741718160926,0.290218300407365,0.293030101492655,0.295852394322788,0.298684985712059,0.301527679883553
IB,0.50088935871467,0.500574697497163,0.500223833540415,0.499837014731386,0.49941449411122,0.498956529698822,0.498463384317841,0.497935325427126,0.497372624954697,0.496775559135286,0.496144408351472,0.49547945697844,0.494780993232385,0.494049309022571,0.493284699807035,0.492487464451954,0.491657905094641,0.490796327010167,0.48990303848158,0.488978350673685,0.488022577510364,0.487036035555375,0.4860190438966,0.484971924033689,0.483894999769029,0.482788597102006,0.481653044126467,0.480488670931339,0.479295809504326,0.478074793638601,0.476825958842437,0.475549642251683,0.474246182545015,0.472915919861869,0.471559195722982,0.470176352953449,0.468767735608216,0.467333688899911,0.465874559128935,0.464390693615718,0.462882440635051,0.461350149352406,0.459794169762152,0.458214852627583,0.45661254942266,0.454987612275382,0.453340393912707,0.451671247606922,0.449980527123379,0.44826858666952,0.446535780845101,0.444782464593531,0.443008993154247,0.441215722016051,0.439403006871318,0.437571203571013,0.435720668080436,0.433851756435625,0.43196482470034,0.430060228923579,0.428138325097531,0.426199469115935,0.42424401673276,0.422272323521155,0.420284744832618,0.418281635756321,0.416263351078549,0.414230245242199,0.412182672306287,0.410120985905438,0.408045539209295,0.405956684881829,0.4038547750405,0.401740161215243,0.399613194307247,0.397474224547503,0.395323601455084,0.393161673795157,0.390988789536678,0.388805295809777,0.386611538862811,0.384407864019066,0.382194615633103,0.379972137046753,0.37774077054473,0.375500857309882,0.373252737378079,0.370996749592722,0.368733231558899,0.366462519597182,0.364184948697082,0.361900852470162,0.359610563102835,0.357314411308855,0.355012726281513,0.352705835645568,0.350394065408925,0.34807773991409,0.345757181789414,0.343432711900168
DF,0.0858604117033288,0.0866117523125284,0.0873633104197939,0.0881150082947008,0.0888667679091873,0.0896185109392683,0.0903701587668154,0.0911216324814271,0.0918728528824087,0.092623740480886,0.0933742155020714,0.0941241978877063,0.0948736072986985,0.0956223631179751,0.0963703844535715,0.0971175901419746,0.0978638987517398,0.0986092285873998,0.0993534976936825,0.100096623860056,0.100838524625616,0.101579117284332,0.10231831889067,0.103056046265599,0.103792216003006,0.104526744476522,0.10525954784678,0.105990542069109,0.106719642901685,0.107446765914137,0.108171826496629,0.108894739869418,0.109615421092902,0.110333785078164,0.111049746598011,0.11176322029853,0.112474120711142,0.113182362265186,0.11388785930101,0.114590526083588,0.115290276816658,0.115987025657385,0.116680686731542,0.117371174149213,0.118058402021023,0.118742284474873,0.1194227356732,0.120099669830734,0.120773001232768,0.121442644253924,0.1221085133774,0.122770523214715,0.12342858852592,0.124082624240269,0.124732545477359,0.125378267568701,0.126019706079732,0.126656776832246,0.127289395927226,0.127917479768083,0.128540945084256,0.129159708955196,0.12977368883468,0.13038280257547,0.130986968454279,0.131586105197037,0.132180132004432,0.132768968577717,0.13335253514475,0.13393075248626,0.134503541962304,0.135070825538916,0.135632525814898,0.136188566048758,0.136738870185755,0.137283362885034,0.137821969546834,0.138354616339728,0.138881230227901,0.139401738998406,0.139916071288403,0.140424156612345,0.140925925389084,0.141421308968876,0.141910239660266,0.142392650756811,0.142868476563641,0.143337652423805,0.143800114744405,0.14425580102247,0.144704649870558,0.145146601042063,0.14558159545619,0.146009575222587,0.146430483665605,0.146844265348159,0.147250866095174,0.14765023301658,0.148042314529857,0.148427060382071
Nat,0.118609762850943,0.116420411557289,0.11426315754546,0.112137755554038,0.110043955375047,0.107981502109636,0.105950136419725,0.1039495947755,0.101979609698603,0.100039910000949,0.0981302210190332,0.0962502648436606,0.0943997605450183,0.0925784243930142,0.09078597007283,0.0890221088956353,0.0872865500044236,0.0855790005749357,0.0838991660116488,0.0822467501388122,0.080621455386522,0.0790229829718325,0.0774510330749087,0.0759053050102318,0.0743854973928748,0.072891308299871,0.0714224354267045,0.0699785762389566,0.0685594281191461,0.0671646885088075,0.0657940550458538,0.0644472256972757,0.0631238988872324,0.0618237736205918,0.0605465496019828,0.0592919273504232,0.0580596083095907,0.0568492949538071,0.055660690889806,0.0544935009543596,0.0533474313078378,0.0522221895237785,0.051117484674546,0.0500330274131571,0.0489685300513556,0.0479237066340158,0.0468982730099572,0.0458919468992517,0.044904447957107,0.0439354978344076,0.0429848202349968,0.0420521409697819,0.0411371880077456,0.0402396915239447,0.0393593839445786,0.0384959999892079,0.0376492767102046,0.0368189535295129,0.0360047722727995,0.0352064772010731,0.0344238150398476,0.0336565350059285,0.0329043888318953,0.0321671307883554,0.0314445177040417,0.0307363089838268,0.0300422666247235,0.0293621552299414,0.0286957420210681,0.0280427968484413,0.0274030921997775,0.026776403207122,0.0261625076521821,0.0255611859701061,0.024972221251767,0.0243953992446112,0.0238305083521278,0.0232773396319959,0.0227356867929636,0.0222053461905129,0.0216861168213605,0.0211778003168481,0.0206802009352672,0.0201931255531706,0.0197163836557134,0.0192497873260709,0.0187931512339763,0.018346292623421,0.0179090312995584,0.0174811896148525,0.0170625924545081,0.0166530672212221,0.0162524438192913,0.0158605546381116,0.0154772345351045,0.0151023208181012,0.0147356532272186,0.0143770739162566,0.0140264274336469,0.0136835607029817
S1P,0.0621617602002258,0.0625770008137756,0.0629904315317731,0.0634020017832032,0.0638116612288579,0.0642193597624336,0.0646250475116575,0.065028674839457,0.0654301923451889,0.0658295508659415,0.066226701477924,0.0666215954979562,0.0670141844850725,0.0674044202422516,0.067792254818284,0.0681776405097892,0.0685605298633927,0.0689408756780734,0.0693186310076911,0.0696937491637031,0.0700661837180777,0.0704358885064142,0.0708028176312744,0.0711669254657349,0.071528166657163,0.0718864961312255,0.0722418690961323,0.0725942410471197,0.0729435677711787,0.0732898053520289,0.0736329101753427,0.0739728389342192,0.0743095486349126,0.0746429966028114,0.0749731404886725,0.0752999382751069,0.0756233482833173,0.0759433291800863,0.076259839985011,0.0765728400779839,0.0768822892069151,0.0771881474956919,0.077490375452373,0.0777889339776105,0.0780837843732958,0.0783748883514225,0.0786622080431611,0.0789457060081374,0.0792253452439083,0.079501089195627,0.0797729017658891,0.0800407473247516,0.0803045907199155,0.0805643972870627,0.0808201328603373,0.0810717637829617,0.0813192569179761,0.081562579659092,0.0818016999416472,0.0820365862536518,0.0822672076469133,0.0824935337482287,0.0827155347706311,0.0829331815246803,0.0831464454297813,0.0833552985255211,0.0835597134830095,0.08375966361621,0.0839551228932496,0.0841460659476913,0.0843324680897584,0.084514305317495,0.084691554327851,0.0848641925276753,0.0850321980446063,0.0851955497378435,0.0853542272087888,0.0855082108115409,0.0856574816632329,0.0858020216541954,0.0859418134579356,0.0860768405409157,0.0862070871721196,0.0863325384323937,0.0864531802235499,0.0865689992772163,0.0866799831634248,0.0867861202989235,0.0868873999551993,0.0869838122662022,0.0870753482357578,0.0871619997446565,0.0872437595574106,0.0873206213286661,0.0873925796092612,0.0874596298519195,0.0875217684165706,0.0875789925752872,0.0876313005168311,0.0876786913507987
AL,0.0541129386675928,0.0542777850315035,0.0544391721302746,0.0545970848869678,0.0547515088714494,0.0549024302930727,0.05504983599344,0.0551937134392552,0.0553340507152778,0.0554708365173911,0.0556040601457916,0.0557337114983111,0.0558597810638787,0.0559822599161311,0.0561011397071772,0.0562164126615249,0.0563280715701744,0.0564361097848828,0.0565405212126062,0.0566413003101206,0.0567384420788258,0.0568319420597352,0.0569217963286515,0.0570080014915317,0.0570905546800402,0.0571694535472911,0.0572446962637783,0.057316281513494,0.0573842084902316,0.0574484768940736,0.0575090869280601,0.0575660392950357,0.057619335194671,0.0576689763206564,0.0577149648580608,0.0577573034808545,0.0577959953495882,0.0578310441092242,0.0578624538871145,0.0578902292911184,0.0579143754078551,0.0579348978010833,0.0579518025102021,0.0579650960488655,0.057974785403704,0.0579808780331447,0.0579833818663234,0.0579823053020812,0.0579776572080357,0.0579694469197216,0.0579576842397895,0.0579423794372577,0.0579235432468062,0.0579011868681056,0.0578753219651728,0.0578459606657439,0.0578131155606572,0.0577767997032361,0.0577370266086656,0.0576938102533517,0.0576471650742573,0.0575971059682043,0.0575436482911355,0.0574868078573274,0.0574266009385447,0.0573630442631305,0.0572961550150233,0.0572259508326926,0.057152449807987,0.0570756704848861,0.0569956318581493,0.0569123533718552,0.0568258549178239,0.0567361568339159,0.0566432799022009,0.0565472453469916,0.0564480748327341,0.0563457904617519,0.0562404147718363,0.0561319707336781,0.056020481748137,0.055905971643342,0.0557884646716206,0.0556679855062509,0.0555445592380337,0.0554182113716813,0.0552889678220189,0.0551568549099966,0.055021899358509,0.05488412828802,0.0547435692119913,0.0546002500321126,0.0544541990333317,0.0543054448786851,0.0541540166039264,0.0539999436119538,0.0538432556670352,0.0536839828888328,0.0535221557462263,0.0533578050509364
IB to S1P,0.0869649465150356,0.0853536090655124,0.0837638278587627,0.0821956534033981,0.0806491197322409,0.0791242449746951,0.0776210319293343,0.0761394686354551,0.0746795289424214,0.0732411730756996,0.0718243481985544,0.0704289889684505,0.0690550180872739,0.0677023468445563,0.0663708756529536,0.0650604945752948,0.0637710838425807,0.0625025143623745,0.0612546482170826,0.0600273391516849,0.0588204330505236,0.057633768402815,0.0564671767565957,0.055320483160865,0.0541935065957243,0.0530860603903626,0.0519979526287719,0.0509289865431172,0.0498789608947163,0.0488476703426232,0.047834905799832,0.0468404547771537,0.0458641017148369,0.0449056283020343,0.0439648137842325,0.0430414352587879,0.0421352679587255,0.0412460855249765,0.0403736602672444,0.039517763413702,0.0386781653497332,0.0378546358459464,0.0370469442756902,0.0362548598223136,0.0354781516764192,0.0347165892233594,0.0339699422212348,0.0332379809696527,0.0325204764695098,0.0318172005740605,0.0311279261315372,0.0304524271195849,0.029790478771775,0.0291418576964585,0.0285063419882208,0.0278837113321936,0.0272737471014803,0.026676232447945,0.0260909523866143,0.0255176938739334,0.0249562458801188,0.02440639945584,0.0238679477934612,0.023340686283069,0.022824412563504,0.0223189265686138,0.0218240305689339,0.021339529209003,0.0208652295405092,0.0204009410514612,0.019946475691571,0.0195016478940307,0.0190662745938583,0.0186401752429845,0.0182231718222446,0.0178150888504355,0.017415753390592,0.0170249950536313,0.0166426459995091,0.0162685409360262,0.0159025171154187,0.0155444143288598,0.0151940748989974,0.0148513436706456,0.0145160679997444,0.0141880977406972,0.0138672852321899,0.0135534852815944,0.0132465551480508,0.0129463545243215,0.0126527455175058,0.0123655926286985,0.0120847627316746,0.0118101250506749,0.0115415511373685,0.0112789148470607,0.0110220923142132,0.0107709619273406,0.010525404303344,0.0102853022613381
S1P to BcD,0.0959488373214368,0.0946287106019797,0.0933206671185789,0.0920247835482458,0.0907411298396954,0.0894697693345175,0.0882107588914665,0.0869641490135864,0.0857299839778924,0.0845083019673395,0.0832991352048124,0.0821025100888801,0.0809184473310643,0.0797469620943786,0.078588064132905,0.0774417579321785,0.0763080428501623,0.0751869132586025,0.0740783586845589,0.0729823639519189,0.0718989093227078,0.0708279706380185,0.0697695194583914,0.0687235232034838,0.0676899452908759,0.0666687452738711,0.0656598789781507,0.06466329863716,0.0636789530261007,0.0627067875944204,0.0617467445966928,0.0607987632217923,0.0598627797202705,0.0589387275298548,0.0580265373989896,0.057126137508353,0.0562374535902837,0.0553604090460631,0.0544949250610005,0.0536409207172774,0.0527983131045102,0.0519670174279988,0.0511469471146311,0.0503380139164205,0.0495401280116563,0.0487531981036534,0.0479771315170905,0.0472118342919302,0.04645721127492,0.0457131662086743,0.0449796018183426,0.0442564198958726,0.0435435213818788,0.0428408064451311,0.0421481745596799,0.0414655245796375,0.0407927548116373,0.0401297630849946,0.0394764468195951,0.0388327030915391,0.0381984286965703,0.0375735202113219,0.0369578740524096,0.0363513865334086,0.0357539539197473,0.0351654724815553,0.0345858385445003,0.0340149485386552,0.0334526990454301,0.0328989868426111,0.0323537089475435,0.0318167626585004,0.0312880455942772,0.0307674557320507,0.0302548914435457,0.0297502515295483,0.029253435252807,0.0287643423693624,0.0282828731583463,0.0278089284502894,0.0273424096539792,0.0268832187819073,0.0264312584743454,0.0259864320220893,0.0255486433879107,0.0251177972267528,0.0246937989047107,0.024276554516831,0.0238659709037693,0.0234619556673413,0.0230644171850036,0.022673264623298,0.0222884079502961,0.0219097579470756,0.021537226218264,0.0211707252016798,0.0208101681771056,0.0204554692742223,0.0201065434797367,0.0197633066437309
IB to DF,0.0852353165310612,0.0844098119399435,0.0835840206209648,0.0827582491000217,0.0819327953750176,0.081107948899681,0.0802839905812904,0.0794611927916222,0.078639819390437,0.077820125760825,0.0770023588557374,0.0761867572550373,0.0753735512324163,0.0745629628315308,0.0737552059507295,0.0729504864357536,0.0721490021798102,0.0713509432304337,0.0705564919025684,0.0697658228973229,0.0689791034258667,0.0681964933379568,0.0674181452546037,0.0666442047044037,0.0658748102630866,0.0651100936958448,0.0643501801020343,0.0635951880618527,0.0628452297846225,0.0621004112583268,0.0613608324000627,0.0606265872070968,0.0598977639082266,0.0591744451151687,0.0584567079737115,0.0577446243143897,0.0570382608024516,0.0563376790869078,0.0556429359484654,0.0549540834461662,0.0542711690625619,0.0535942358472736,0.0529233225587952,0.0522584638044145,0.0515996901781351,0.0509470283964984,0.0503005014322103,0.0496601286454922,0.0490259259130844,0.0483979057548366,0.0477760774578357,0.0471604471980208,0.0465510181592512,0.0459477906497944,0.0453507622162136,0.0447599277546341,0.0441752796193809,0.0435968077289811,0.0430244996695303,0.0424583407954294,0.0418983143275,0.0413444014484927,0.0407965813960051,0.0402548315528313,0.0397191275347655,0.0391894432758881,0.038665751111364,0.0381480218577832,0.0376362248910811,0.0371303282220714,0.0366302985696322,0.0361361014315821,0.0356477011532891,0.0351650609940532,0.0346881431913049,0.0342169090226637,0.0337513188659015,0.033291332256854,0.0328369079453261,0.0323880039490372,0.031944577605651,0.0315065856229356,0.0310739841270995,0.0306467287093496,0.0302247744707154,0.0298080760651845,0.0293965877411952,0.0289902633815288,0.0285890565416464,0.0281929204865136,0.0278018082259545,0.0274156725485795,0.0270344660543252,0.0266581411856509,0.0262866502574288,0.0259199454855692,0.0255579790144191,0.0252007029429713,0.0248480693499231,0.0245000303176189
