Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0601843983367695,0.0601901963454619,0.0601906674788059,0.0601858394457518,0.0601757414778912,0.0601604042879254,0.0601398600277941,0.0601141422465287,0.0600832858478936,0.060047327047878,0.0600063033320979,0.0599602534131657,0.0599092171880851,0.0598532356957257,0.0597923510744272,0.0597266065197874,0.059656046242679,0.0595807154275428,0.0595006601910012,0.0594159275408332,0.0593265653353517,0.0592326222432197,0.0591341477037403,0.0590311918876553,0.0589238056584824,0.0588120405344197,0.0586959486508449,0.0585755827234337,0.0584509960119213,0.0583222422845248,0.0581893757830494,0.0580524511886915,0.0579115235885565,0.0577666484429025,0.0576178815531228,0.0574652790304766,0.0573088972655746,0.0571487928986288,0.0569850227904679,0.0568176439943253,0.0566467137283986,0.0564722893491835,0.0562944283255805,0.0561131882137721,0.0559286266328684,0.0557408012413165,0.0555497697140682,0.0553555897204992,0.0551583189030749,0.0549580148567515,0.0547547351091058,0.0545485371011837,0.0543394781690555,0.0541276155260689,0.0539130062457871,0.0536957072455995,0.0534757752709924,0.0532532668804679,0.0530282384310946,0.0528007460646789,0.0525708456945415,0.0523385929928838,0.0521040433787309,0.0518672520064355,0.0516282737547267,0.0513871632162909,0.0511439746878664,0.0508987621608386,0.0506515793123198,0.0504024794966976,0.050151515737637,0.0498987407205214,0.0496442067853165,0.0493879659198421,0.0491300697534379,0.0488705695510071,0.0486095162074239,0.0483469602422909,0.0480829517950314,0.0478175406203031,0.0475507760837196,0.0472827071578661,0.0470133824185954,0.0467428500415936,0.0464711577991993,0.0461983530574679,0.0459244827734657,0.0456495934927846,0.0453737313472641,0.0450969420529116,0.0448192709080079,0.0445407627913897,0.0442614621608981,0.0439814130519835,0.043700659076457,0.0434192434213812,0.0431372088480888,0.042854597691324,0.0425714518584957,0.0422878128290368
GA,0.0454233180353548,0.0462516745613133,0.0470909693162581,0.0479412730538966,0.0488026561604246,0.0496751886477338,0.0505589401462327,0.0514539798972637,0.0523603767451008,0.0532781991285094,0.0542075150718574,0.0551483921757591,0.0561008976072423,0.0570650980894239,0.0580410598906841,0.0590288488133278,0.0600285301817247,0.0610401688299186,0.0620638290886986,0.0630995747721268,0.0641474691635145,0.0652075750008453,0.066279954461638,0.0673646691472504,0.0684617800666189,0.0695713476194357,0.0706934315787624,0.0718280910730819,0.0729753845677901,0.0741353698461323,0.0753081039895854,0.076493643357694,0.0776920435673643,0.0789033594716234,0.0801276451378514,0.0813649538254956,0.0826153379632748,0.0838788491258862,0.0851555380102237,0.0864454544111213,0.0877486471966334,0.0890651642828661,0.0903950526083739,0.0917383581081354,0.0930951256871265,0.094465399193505,0.0958492213914253,0.0972466339335007,0.0986576773329315,0.100082390935319,0.101520812890183,0.102972980122208,0.104438928302232,0.105918691818004,0.107412303744735,0.108919795815457,0.11044119839122,0.111976540431147,0.113525849462375,0.115089151549897,0.116666471266343,0.118257831661716,0.119863254233112,0.121482758894443,0.123116363946206,0.124764086045303,0.126425940174957,0.12810193961474,0.129792095910741,0.131496418845913,0.133214916410606,0.134947594773334,0.136694458251794,0.138455509284164,0.14023074840071,0.142020174195735,0.143823783299885,0.145641570352864,0.147473527976551,0.149319646748583,0.15117991517641,0.153054319671852,0.154942844526197,0.156845471885854,0.158762181728597,0.160692951840425,0.16263775779306,0.164596572922121,0.166569368305989,0.168556112745389,0.170556772743731,0.17257131248821,0.174599693831714,0.176641876275541,0.178697816952975,0.180767470613724,0.182850789609243,0.184947723878985,0.187058220937578,0.189182225862957
IB,0.499417648947431,0.500344520141545,0.501228748113377,0.502070333044526,0.502869288649503,0.503625641944744,0.504339433011704,0.505010714754533,0.505639552652812,0.506226024509829,0.506770220196873,0.507272241393992,0.507732201327686,0.508150224505971,0.508526446451234,0.508861013431326,0.509154082189276,0.509405819672042,0.50961640275867,0.509786017988245,0.509914861287977,0.510003137701781,0.510051061119673,0.510058854008298,0.510026747142895,0.509954979340987,0.50984379719807,0.509693454825552,0.509504213591198,0.509276341862309,0.509010114751844,0.508705813867691,0.508363727065289,0.507984148203744,0.507567376905641,0.507113718320661,0.506623482893166,0.506096986133865,0.505534548395665,0.504936494653814,0.504303154290417,0.503634860883403,0.502931952000005,0.502194768994805,0.501423656812389,0.500618963794643,0.499781041492714,0.498910244483653,0.498006930191735,0.497071458714472,0.496104192653283,0.495105496948825,0.494075738720947,0.493015287113235,0.491924513142114,0.490803789550455,0.489653490665639,0.488473992262029,0.487265671427775,0.486028906435894,0.484764076619555,0.483471562251495,0.482151744427489,0.48080500495378,0.479431726238412,0.478032291186352,0.476607083098329,0.475156485573293,0.473680882414397,0.472180657538419,0.47065619488852,0.469107878350236,0.467536091670625,0.465941218380448,0.464323641719301,0.462683744563599,0.461021909357301,0.459338518045292,0.457633952009314,0.455908592006356,0.454162818109397,0.45239700965042,0.450611545165584,0.44880680234248,0.44698315796936,0.445140987886264,0.443280666937947,0.441402568928514,0.439507066577691,0.437594531478633,0.435665334057199,0.4337198435326,0.431758427879352,0.429781453790462,0.427789286641751,0.425782290457269,0.423760827875712,0.421725260117789,0.419675946954453,0.417613246675962
DF,0.0702183245723684,0.0710088525891094,0.0718019253459482,0.0725974636780944,0.0733953881483751,0.0741956190656321,0.0749980765023287,0.0758026803113664,0.0766093501421166,0.0774180054556729,0.0782285655393298,0.0790409495202989,0.0798550763786712,0.0806708649596392,0.0814882339849914,0.0823071020638942,0.0831273877029783,0.0839490093157459,0.0847718852313186,0.0855959337025443,0.0864210729134858,0.0872472209863103,0.088074295987605,0.0889022159341401,0.0897308987981039,0.0905602625118354,0.091390224972078,0.092220704043782,0.09305161756348,0.0938828833422635,0.094714419168386,0.0955461428095214,0.0963779720147021,0.0972098245159673,0.0980416180297464,0.0988732702580057,0.0997046988891856,0.100535821598956,0.101366556050815,0.102196819896559,0.103026530776653,0.10385560632052,0.104683964146784,0.105511521863487,0.106338197068304,0.107163907348785,0.107988570282645,0.108812103438123,0.109634424374442,0.110455450642377,0.111275099784974,0.112093289338416,0.112909936833078,0.113724959794783,0.114538275746269,0.115349802208899,0.116159456704631,0.116967156758248,0.117772819899888,0.118576363667868,0.119377705611835,0.120176763296239,0.120973454304162,0.121767696241493,0.122559406741478,0.123348503469649,0.124134904129138,0.124918526466393,0.125699288277297,0.126477107413701,0.127251901790377,0.128023589392399,0.128792088282949,0.129557316611563,0.13031919262281,0.131077634665419,0.13183256120184,0.132583890818254,0.133331542235021,0.134075434317583,0.134815486087789,0.135551616735682,0.136283745631704,0.137011792339347,0.137735676628227,0.138455318487587,0.139170638140211,0.139881556056761,0.140587992970511,0.141289869892484,0.141987108126976,0.142679629287463,0.143367355312879,0.144050208484256,0.14472811144171,0.14540098720178,0.146068759175077,0.146731351184264,0.147388687482332,0.148040692771165
Nat,0.215107322294371,0.211661592965,0.208252627279996,0.20488052642241,0.201545376043703,0.198247246505208,0.194986193128685,0.19176225645539,0.188575462513088,0.185425823090443,0.182313336018205,0.17923798545666,0.176199742188769,0.173198563918459,0.170234395573541,0.167307169612713,0.164416806336147,0.161563214199152,0.158746290128422,0.155965919840388,0.153221978161213,0.15051432934798,0.147842827410626,0.145207316434207,0.142607630901086,0.14004359601264,0.137515028010124,0.135021734494313,0.132563514743588,0.13014016003012,0.127751453933854,0.125397172653973,0.123077085317568,0.120790954285246,0.118538535453412,0.116319578552994,0.114133827444385,0.111981020408388,0.109860890432973,0.107773165495668,0.105717568841409,0.103693819255697,0.101701631332937,0.0997407157398076,0.0978107794735633,0.0959115261151672,0.0940426560771548,0.0922038668461584,0.0903948532200202,0.0886153075394387,0.0868649199141013,0.0851433784432671,0.083450369430771,0.0817855775944331,0.0801486862698617,0.0785393776086512,0.0769573327709785,0.0754022321126153,0.0738737553663748,0.0723715818180225,0.0708953904766848,0.0694448602397955,0.068019670052626,0.0666194990624507,0.0652440267674029,0.0638929331600819,0.0625658988659766,0.0612626052767729,0.0599827346786181,0.0587259703754171,0.0574919968072392,0.0562804996639166,0.0550911659939174,0.0539236843085797,0.0527777446817943,0.0516530388452241,0.0505492602791529,0.0494661042990542,0.0484032681379727,0.0473604510248141,0.0463373542586352,0.0453336812790315,0.0443491377327154,0.0433834315363825,0.0424362729359586,0.041507374562325,0.0405964514836153,0.0397032212541779,0.0388274039602999,0.037968722262782,0.0371269014364609,0.0363016694067667,0.0354927567834085,0.0346998968912769,0.0339228257986501,0.0331612823427942,0.0324150081530399,0.0316837476714226,0.0309672481709685,0.0302652597717077
S1P,0.0787236188175696,0.0794464807882862,0.080168884584951,0.0808907350018591,0.0816119372973421,0.0823323972134056,0.0830520209942341,0.0837707154035832,0.0844883877410748,0.0852049458574176,0.0859202981685731,0.0866343536688924,0.0873470219432468,0.0880582131781809,0.0887678381721134,0.0894758083446167,0.0901820357448033,0.0908864330588513,0.0915889136166996,0.0922893913979457,0.0929877810369792,0.0936839978273844,0.0943779577256461,0.0950695773541933,0.0957587740038152,0.0964454656354842,0.0971295708816212,0.0978110090468385,0.0984897001081941,0.0991655647149932,0.0998385241881718,0.100508500519294,0.101175416369204,0.10183919506635,0.102499760604843,0.103157037642244,0.103810951497147,0.104461428146566,0.105108394223168,0.105751777012381,0.106391504449399,0.10702750511612,0.107659708238043,0.108288043681149,0.108912441948792,0.10953283417863,0.11014915213961,0.110761328229038,0.111369295469758,0.111972987507455,0.112572338608102,0.113167283655578,0.113757758149467,0.114343698203062,0.114925040541583,0.115501722500627,0.116073682024876,0.11664085766705,0.117203188587148,0.117760614551961,0.118313075934886,0.118860513716046,0.119402869482714,0.119940085430065,0.120472104362248,0.120998869693792,0.12152032545135,0.122036416275776,0.122547087424553,0.12305228477456,0.123551954825186,0.124046044701786,0.124534502159491,0.125017275587352,0.125494314012831,0.125965567106625,0.126430985187837,0.126890519229458,0.127344120864192,0.127791742390593,0.128233336779512,0.128668857680852,0.129098259430626,0.129521497058296,0.1299385262944,0.130349303578446,0.130753786067065,0.131151931642426,0.131543698920874,0.131929047261811,0.132307936776787,0.132680328338793,0.133046183591752,0.13340546496018,0.133758135659021,0.134104159703626,0.134443501919874,0.134776127954413,0.135102004285009,0.135421098230993
AL,0.0309253689961359,0.0310966826092843,0.0312661778806633,0.0314338293534617,0.0315996122227605,0.0317635023353507,0.0319254761890211,0.0320855109313349,0.0322435843579139,0.0323996749102499,0.0325537616730639,0.0327058243712321,0.0328558433662993,0.0330037996526003,0.033149674853009,0.0332934512143355,0.0334351116023921,0.0335746394967475,0.0337120189851898,0.0338472347579176,0.0339802721014794,0.0341111168924797,0.034239755591072,0.0343661752342559,0.0344903634289987,0.0346123083451972,0.0347319987084988,0.0348494237929985,0.0349645734138286,0.0350774379196568,0.0351880081851096,0.0352962756031343,0.0354022320773166,0.0355058700141658,0.0356071823153829,0.0357061623701231,0.035802804047267,0.0358971016877106,0.0359890500966872,0.0360786445361305,0.0361658807170903,0.0362507547922103,0.0363332633482762,0.0364134033988441,0.0364911723769565,0.0365665681279527,0.0366395889023826,0.036710233349028,0.0367785005080383,0.036844389804187,0.0369079010402515,0.0369690343905231,0.0370277903944495,0.0370841699504134,0.0371381743096509,0.037189805070312,0.0372390641716639,0.0372859538884418,0.0373304768253445,0.0373726359116796,0.0374124343961556,0.0374498758418236,0.0374849641211657,0.0375177034113327,0.0375480981895269,0.0375761532285312,0.0376018735923826,0.0376252646321867,0.0376463319820739,0.0376650815552919,0.0376815195404353,0.0376956523978063,0.0377074868559058,0.0377170299080509,0.0377242888091156,0.0377292710723905,0.0377319844665595,0.0377324370127875,0.0377306369819168,0.0377265928917674,0.0377203135045371,0.0377118078242972,0.0377010850945791,0.037688154796048,0.037673026644258,0.0376557105874858,0.0376362168046359,0.0376145557032155,0.0375907379173719,0.037564774305989,0.0375366759508379,0.037506454154777,0.0374741204399962,0.0374396865463017,0.0374031644294357,0.0373645662594265,0.0373239044189649,0.037281191501802,0.0372364403111636,0.0371896638581777
IB to S1P,0.13793365743019,0.135651340800293,0.133388215666323,0.131144856597362,0.128921806752704,0.126719578170156,0.1245386521031,0.122379479403326,0.120242480946604,0.118128048097991,0.116036543213865,0.113968300177727,0.111923624966825,0.109902796246748,0.107906065991138,0.105933660123806,0.103985779180544,0.102062598988066,0.100164271357561,0.0982909247904474,0.0964426651940284,0.0946195766048138,0.0928217219174171,0.0910491436170106,0.0893018645134441,0.0875798884752312,0.085883201161718,0.0842117707518532,0.0825655486680828,0.0809444702939983,0.0793484556844679,0.0777774102670798,0.0762312255338238,0.0747097797220327,0.0732129384836964,0.0717405555423486,0.070292473336814,0.0688685236511813,0.0674685282304513,0.0660922993813784,0.0647396405580982,0.0634103469322005,0.0621042059469694,0.0608209978555754,0.0595604962430565,0.0583224685319819,0.0571066764717399,0.0559128766114374,0.0547408207564413,0.053590256408632,0.0524609271904749,0.0513525732530504,0.0502649316682107,0.0491977368050626,0.0481507206909992,0.0471236133575232,0.0461161431711312,0.0451280371495368,0.0441590212635362,0.0432088207248241,0.0422771602600864,0.0413637643717011,0.0404683575853907,0.0395906646851726,0.0387304109359613,0.0378873222941786,0.0370611256067314,0.036251548798716,0.0354583210502115,0.0346811729625186,0.0339198367142042,0.0331740462073049,0.0324435372040425,0.0317280474543973,0.0310273168148844,0.0303410873588677,0.0296691034787475,0.0290111119803439,0.0283668621697982,0.0277361059333039,0.027118597809973,0.0265140950581365,0.0259223577153702,0.0253431486525286,0.0247762336220628,0.024221381300891,0.0236783633280812,0.0231469543375979,0.0226269319863582,0.0221180769778332,0.0216201730814237,0.0211330071478312,0.0206563691206373,0.0201900520442986,0.0197338520687537,0.0192875684508347,0.0188510035526674,0.0184239628372352,0.0180062548612788,0.0175976912656936
S1P to BcD,0.0876882756774389,0.0863540769951658,0.0850365062106832,0.0837354750640451,0.0824508916308892,0.0811826604791676,0.0799306828235154,0.0786948566771715,0.077475077001374,0.076271235852159,0.0750832225244994,0.0739109236937262,0.0727542235541829,0.0716130039550687,0.0704871445334326,0.0693765228442868,0.0682810144878127,0.0672004932336399,0.0661348311421808,0.0650838986830111,0.0640475648502905,0.0630256972752212,0.062018162335547,0.0610248252621,0.060045550242405,0.0590802005213562,0.0581286384989821,0.0571907258253211,0.0562663234924297,0.0553552919235497,0.054457491059464,0.053572780442071,0.052701019295212,0.0518420666027857,0.050995781184188,0.0501620217671157,0.0493406470577738,0.0485315158085298,0.0477344868830562,0.0469494193190063,0.0461761723882684,0.045414605654845,0.0446645790304015,0.0439259528275345,0.0431985878108059,0.0424823452455913,0.0417770869447913,0.041082675313455,0.0403989733913637,0.0397258448936247,0.039063154249323,0.0384107666382817,0.0377685480259768,0.0371363651966582,0.0365140857847222,0.0359015783043855,0.0352987121777061,0.0347053577610002,0.0341213863696998,0.0335466703016978,0.0329810828592263,0.0324244983693121,0.0318767922028541,0.0313378407923658,0.0308075216484265,0.0302857133748825,0.0297722956828395,0.0292671494034887,0.0287701564998041,0.0282812000771517,0.0278001643928492,0.0273269348647121,0.0268613980786256,0.0264034417951758,0.0259529549553769,0.0255098276855288,0.0250739513012378,0.0246452183106345,0.0242235224168196,0.0238087585195701,0.0234008227163349,0.0229996123025514,0.0226050257713098,0.0222169628123945,0.0218353243107304,0.0214600123442586,0.0210909301812698,0.0207279822772188,0.0203710742710451,0.0200201129810227,0.0196750064001636,0.0193356636911944,0.0190019951811308,0.018673912355468,0.0183513278520094,0.0180341554543519,0.0177223100850468,0.0174157077984553,0.0171142657733159,0.0168179023050403
IB to DF,0.0525061304254586,0.0521026186064866,0.0516950098426177,0.0512835547638083,0.0508685011088296,0.0504500934927493,0.0500285731888562,0.049604177924981,0.0491771416941166,0.0487476945792006,0.0483160625918768,0.0478824675250171,0.0474471268187485,0.0470102534396996,0.0465720557731489,0.0461327375277361,0.045692497652369,0.0452515302649452,0.0448100245924841,0.0443681649222568,0.0439261305634839,0.0434840958191662,0.0430422299676055,0.0426006972531649,0.0421596568858212,0.0417192630490557,0.0412796649156345,0.0408410066708304,0.0404034275426447,0.0399670618385904,0.0395320389886078,0.0390984835936908,0.0386665154798098,0.0382362497567315,0.0378077968813411,0.0373812627250885,0.0369567486451907,0.0365343515592338,0.0361141640228334,0.0356962743100243,0.0352807664960628,0.0348677205423406,0.0344572123831215,0.0340493140138263,0.0336440935806041,0.0332416154709442,0.0328419404050917,0.0324451255280481,0.0320512245019473,0.0316602875986113,0.0312723617921036,0.0308874908511079,0.0305057154309723,0.0301270731652726,0.0297515987567547,0.0293793240675317,0.0290102782084176,0.0286444876272913,0.0282819761963934,0.0279227652984665,0.0275668739116601,0.0272143186931273,0.0268651140612488,0.0265192722764283,0.0261768035204084,0.0258377159740648,0.0255020158936396,0.0251697076853848,0.0248407939785879,0.0245152756969607,0.0241931521283742,0.0238744209929281,0.0235590785093486,0.0232471194597107,0.0229385372524844,0.0226333239839098,0.0223314704977067,0.0220329664431286,0.0217378003313733,0.0214459595903638,0.0211574306179171,0.0208721988333189,0.0205902487273243,0.0203115639106067,0.0200361271606782,0.0197639204673057,0.0194949250764492,0.019229121532747,0.0189664897205779,0.0187070089037261,0.0184506577636789,0.0181974144365854,0.0179472565489074,0.0177001612517897,0.017456105254183,0.0172150648547462,0.0169770159725614,0.0167419341766898,0.0165097947145987,0.0162805725394907
