Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.0989373390376112,0.0988812418488729,0.0988161209184767,0.0987420413902146,0.0986590709016975,0.0985672795048302,0.098466739586019,0.0983575257862227,0.0982397149209591,0.0981133859003696,0.0979786196494452,0.0978354990285124,0.0976841087540706,0.097524535320075,0.0973568669197474,0.0971811933679991,0.0969976060245437,0.0968061977177728,0.0966070626694651,0.0964002964203952,0.0961859957569019,0.0959642586384753,0.0957351841264159,0.0954988723136144,0.0952554242554998,0.0950049419021952,0.0947475280319219,0.0944832861856846,0.0942123206032694,0.0939347361605816,0.0936506383083473,0.0933601330121998,0.0930633266941673,0.0927603261755778,0.0924512386213911,0.0921361714859667,0.0918152324602744,0.0914885294205488,0.0911561703783906,0.0908182634323103,0.0904749167207121,0.0901262383763114,0.0897723364819761,0.0894133190279834,0.0890492938706789,0.0886803686925239,0.0883066509635159,0.0879282479039661,0.0875452664486143,0.0871578132120616,0.0867659944555021,0.0863699160547295,0.0859696834693971,0.0855654017135071,0.0851571753271051,0.0847451083491543,0.0843293042915643,0.0839098661143468,0.0834868962018741,0.0830604963402103,0.08263076769549,0.0821978107933169,0.0817617254991525,0.0813226109996697,0.0808805657850422,0.0804356876321417,0.0799880735886153,0.0795378199578166,0.079085022284561,0.0786297753416801,0.0781721731173471,0.0777123088031469,0.0772502747828644,0.0767861626219657,0.0763200630577465,0.0758520659901219,0.0753822604730341,0.0749107347064542,0.074437576028952,0.0739628709108151,0.0734867049476896,0.073009162854726,0.0725303284612038,0.0720502847056175,0.0715691136312029,0.0710868963818832,0.0706037131986171,0.0701196434161303,0.0696347654600118,0.0691491568441593,0.0686628941685562,0.0681760531173641,0.0676887084573167,0.0672009340363993,0.0667128027827999,0.0662243867041196,0.0657357568868276,0.0652469834959504,0.0647581357749812,0.0642692820460015
GA,0.0600893086186161,0.0611445373107525,0.0622125956929825,0.0632935407255023,0.0643874284871402,0.0654943141676755,0.0666142520597496,0.0677472955503503,0.0688934971118554,0.0700529082926225,0.0712255797071102,0.0724115610255211,0.0736109009629566,0.0748236472680739,0.0760498467112392,0.0772895450721702,0.0785427871270641,0.079809616635208,0.0810900763250688,0.0823842078798643,0.0836920519226138,0.0850136480006725,0.0863490345697522,0.0876982489774332,0.0890613274461736,0.0904383050558233,0.0918292157256511,0.0932340921958947,0.0946529660088445,0.0960858674894727,0.0975328257256224,0.0989938685477682,0.100469022508367,0.10195831286081,0.103461763538003,0.10497939713058,0.106511234864777,0.10805729657999,0.10961760070603,0.111192164240093,0.112781002723489,0.114384130218123,0.116001559282776,0.117633300949197,0.11927936469804,0.120939758434664,0.122614488464824,0.124303559470288,0.126006974484391,0.127724734867572,0.129456840282907,0.131203288671678,0.132964076228992,0.1347391973795,0.136528644753226,0.138332409161544,0.14015047957333,0.141982843091326,0.143829484928733,0.145690388386074,0.14756553482835,0.149454903662526,0.151358472315366,0.15327621621166,0.155208108752858,0.157154121296159,0.159114223134059,0.161088381474416,0.163076561421037,0.165078725954828,0.167094835915532,0.169124849984081,0.171168724665595,0.173226414273047,0.175297870911626,0.177383044463825,0.179481882575275,0.181594330641354,0.18372033179459,0.185859826892894,0.188012754508625,0.19017905091854,0.192358650094614,0.194551483695783,0.19675748106062,0.198976569200947,0.201208672796433,0.203453714190171,0.205711613385258,0.207982288042404,0.210265653478568,0.212561622666655,0.214870106236272,0.217191012475562,0.219524247334129,0.221869714427066,0.224227315040087,0.226596948135786,0.228978510361016,0.231371896055408
IB,0.412748905981592,0.41324065599649,0.413695080701856,0.414112253974102,0.414492261386727,0.414835199974185,0.415141177991604,0.415410314670795,0.415642739972982,0.415838594338688,0.415998028435175,0.416121202901859,0.41620828809409,0.416259463825672,0.416274919110504,0.416254851903703,0.416199468842538,0.416108984987534,0.415983623564047,0.415823615704628,0.41562920019247,0.415400623206211,0.415138138066366,0.41484200498365,0.414512490809411,0.41414986878842,0.413754418314222,0.41332642468724,0.412866178875841,0.412373977280508,0.411850121501305,0.41129491810876,0.410708678418319,0.410091718268489,0.409444357802771,0.408766921255496,0.408059736741649,0.407323136050753,0.406557454444885,0.405763030460882,0.404940205716775,0.4040893247225,0.403210734694906,0.402304785377081,0.401371828862013,0.400412219420574,0.399426313333842,0.398414468729734,0.397377045423938,0.396314404765118,0.395226909484359,0.394114923548816,0.392978812019528,0.391818940913341,0.390635677068901,0.389429388016643,0.388200441852735,0.3869492071169,0.385676052674052,0.384381347599676,0.383065461068881,0.38172876224905,0.380371620196003,0.378994403753604,0.377597481456724,0.376181221437479,0.374745991334662,0.373292158206281,0.371820088445122,0.370330147697247,0.368822700783345,0.367298111622853,0.365756743160753,0.364198957296968,0.362625114818269,0.361035575332608,0.3594306972058,0.357810837500459,0.356176351917126,0.354527594737487,0.352864918769623,0.351188675295196,0.349499214018516,0.347796883017392,0.34608202869571,0.344354995737668,0.342616127063584,0.340865763787228,0.339104245174602,0.337331908604102,0.335549089528016,0.333756121435278,0.331953335815436,0.330141062123776,0.328319627747537,0.32648935797319,0.324650575954703,0.322803602682769,0.320948756954936,0.31908635534661
DF,0.0786281116654457,0.0794605794267955,0.080294502642388,0.0811297817959642,0.0819663173219031,0.0828040096288873,0.0836427591226257,0.0844824662276406,0.0853230314081318,0.0861643551879272,0.0870063381695374,0.0878488810523268,0.088691884649822,0.0895352499061741,0.0903788779117973,0.0912226699182041,0.092066527352062,0.0929103518284941,0.0937540451636508,0.0945975093865772,0.0954406467504044,0.0962833597428924,0.0971255510963527,0.0979671237969801,0.0988079810936235,0.0996480265060245,0.100487163832556,0.101325297157488,0.102162330857819,0.102998169609687,0.103832718394418,0.104665882504208,0.105497567547504,0.106327679454085,0.107156124479893,0.107982809211635,0.108807640571177,0.109630525819786,0.110451372562211,0.111270088750659,0.112086582688683,0.112900763035009,0.113712538807324,0.114521819386054,0.115328514518161,0.11613253432097,0.116933789286055,0.117732190283216,0.118527648564543,0.119320075768613,0.120109383924825,0.120895485457887,0.121678293192492,0.12245772035817,0.123233680594361,0.124006087955703,0.124774856917552,0.125539902381757,0.126301139682684,0.127058484593518,0.127811853332831,0.12856116257145,0.129306329439609,0.130047271534402,0.130783906927546,0.131516154173449,0.132243932317596,0.132967160905247,0.13368575999046,0.134399650145419,0.135108752470099,0.135812988602237,0.136512280727621,0.137206551590692,0.137895724505465,0.138579723366742,0.139258472661637,0.139931897481389,0.140599923533475,0.141262477153987,0.141919485320301,0.142570875664001,0.14321657648406,0.143856516760271,0.14449062616691,0.145118835086628,0.145741074624552,0.146357276622594,0.146967373673938,0.147571299137715,0.148168987153833,0.148760372657958,0.149345391396627,0.149923979942484,0.150496075709618,0.151061616968991,0.151620542863941,0.152172793425737,0.152718309589187,0.153257033208258
Nat,0.201410788599178,0.198053009340804,0.194733363177938,0.191451905872847,0.188208677559471,0.18500370302614,0.181836992006471,0.17870853947781,0.175618325966627,0.17256631786024,0.169552467724291,0.166576714625378,0.163638984458265,0.160739190277114,0.157877232630182,0.155052999897441,0.152266368630599,0.149517203895013,0.14680535961299,0.144130678907995,0.141492994449311,0.138892128796687,0.136327894744548,0.133800095665354,0.131308525851695,0.12885297085676,0.126433207832788,0.124049005867178,0.121700126315914,0.119386323133984,0.117107343202515,0.114862926652327,0.112652807183647,0.110476712381743,0.108334364028234,0.106225478407877,0.104149766610617,0.102106934828725,0.100096684648858,0.0981187133388751,0.0961727141292864,0.0942583764891956,0.0923753863966315,0.0905234266031682,0.0887021768927477,0.0869113143346312,0.0851505135304163,0.0834194468550714,0.0817177846919458,0.0800451956617274,0.0784013468453281,0.0767859040006883,0.0751985317734991,0.0736388939018506,0.0721066534148232,0.0706014728250456,0.0691230143152516,0.0676709399188735,0.0662449116947185,0.0648445918957775,0.0634696431322251,0.0621197285286711,0.0607945118757332,0.0594936577759997,0.0582168317844613,0.0569637005434893,0.0557339319124454,0.054527195092009,0.0533431607433126,0.0521815011019751,0.0510418900871314,0.0499240034055507,0.0488275186509458,0.0477521153985699,0.046697475295205,0.0456632821446416,0.0446492219887554,0.0436549831842825,0.042680256475398,0.0417247350622038,0.0407881146652274,0.0398700935860383,0.0389703727640856,0.0380886558298593,0.0372246491544804,0.0363780618958209,0.0355486060412559,0.0347359964471483,0.0339399508751667,0.0331601900255343,0.0323964375673068,0.0316484201657752,0.0309158675070893,0.030198512320194,0.0294960903961717,0.0288083406050812,0.0281350049103804,0.0274758283810234,0.0268305592013141,0.026198948678603
S1P,0.0858109275841526,0.0865414286908163,0.0872701510197554,0.0879969876085372,0.0887218323377442,0.0894445799524785,0.09016512608255,0.0908833672613737,0.0915992009436057,0.0923125255215453,0.093023240340336,0.093731245711997,0.0944364429283202,0.0951387342726662,0.0958380230306977,0.0965342135000853,0.0972272109992257,0.0979169218750094,0.0986032535096782,0.0992861143268118,0.0999654137964832,0.100641062439625,0.101312971831642,0.101981054605321,0.102645224453063,0.103305396128494,0.103961485447479,0.104613409288593,0.105261085593078,0.105904433364327,0.106543372666939,0.107177824625368,0.107807711422223,0.108432956296237,0.109053483539943,0.109669218497108,0.110280087559926,0.110886018166041,0.111486938795395,0.112082778966956,0.112673469235342,0.113258941187377,0.113839127438596,0.114413961629739,0.114983378423236,0.115547313499736,0.116105703554675,0.116658486294917,0.117205600435485,0.117746985696407,0.118282582799674,0.118812333466357,0.119336180413864,0.119854067353381,0.120365938987485,0.120871741007955,0.121371420093789,0.12186492390943,0.122352201103213,0.122833201306041,0.123307875130292,0.123776174168962,0.124238050995056,0.12469345916121,0.125142353199571,0.125584688621915,0.126020421920008,0.126449510566219,0.126871913014368,0.127287588700817,0.127696498045791,0.128098602454931,0.12849386432108,0.128882247026274,0.129263714943956,0.129638233441389,0.130005768882271,0.130366288629531,0.130719761048313,0.131066155509117,0.131405442391112,0.131737593085588,0.132062579999548,0.132380376559426,0.13269095721492,0.132994297442917,0.133290373751523,0.133579163684151,0.133860645823685,0.134134799796686,0.134401606277633,0.134661046993193,0.13491310472649,0.135157763321373,0.135395007686662,0.135624823800362,0.135847198713825,0.136062120555853,0.136269578536719,0.136469562952104
AL,0.0623746185134043,0.0626785473854686,0.0629781858466038,0.0632734886328327,0.0635644120053175,0.0638509137458034,0.0641329531509809,0.0644104910258077,0.0646834896758387,0.0649519128986073,0.0652157259741052,0.0654748956544056,0.0657293901524758,0.065979179130225,0.0662242336858319,0.0664645263403974,0.0667000310239674,0.0669307230609684,0.0671565791551002,0.0673775773737279,0.0675936971318147,0.0678049191754374,0.068011225564923,0.0682125996576476,0.0684090260905333,0.0686004907622823,0.0687869808153829,0.0689684846179212,0.069144991745235,0.0693164929614388,0.0694829802008534,0.0696444465493694,0.0698008862257724,0.069952294563058,0.0700986679897635,0.0702400040113382,0.0703763011915799,0.0705075591341557,0.070633778464231,0.0707549608102253,0.0708711087857124,0.0709822259714841,0.0710883168977911,0.0711893870267778,0.0712854427351232,0.0713764912969014,0.0714625408666712,0.0715436004628079,0.0716196799510827,0.0716907900285011,0.0717569422074047,0.0718181487998444,0.0718744229022283,0.0719257783802498,0.0719722298540985,0.0720137926839559,0.0720504829557782,0.0720823174673666,0.072109313714725,0.0721314898787041,0.0721488648119314,0.0721614580260236,0.0721692896790804,0.0721723805634547,0.072170752093797,0.0721644262953678,0.0721534257926152,0.0721377737980108,0.072117494101139,0.0720926110580338,0.0720631495807548,0.0720291351271997,0.0719905936911408,0.071947551792483,0.0719000364677329,0.0718480752606725,0.0717916962132282,0.0717309278565296,0.0716657992021461,0.0715963397334967,0.0715225793974218,0.0714445485959105,0.071362278177973,0.071275799431651,0.0711851440761576,0.0710903442541367,0.0709914325240349,0.0708884418525775,0.0707814056073387,0.0706703575493999,0.0705553318260865,0.0704363629637758,0.0703134858607679,0.0701867357802123,0.0700561483430823,0.0699217595211902,0.0697836056302356,0.0696417233228808,0.0694961495818456,0.0693469217130152
IB to S1P,0.10987514218489,0.107968599436836,0.106082461095241,0.104217010838664,0.102372508979618,0.10054919294709,0.0987472777891223,0.0969669566933874,0.0952084015236702,0.0934717633702838,0.0917571731124817,0.0900647419910061,0.0883945621889793,0.086746707419422,0.085121233517752,0.0835181790376993,0.0819375658491475,0.0803793997364911,0.0788436709961784,0.0773303550321845,0.0758394129482432,0.0743707921357365,0.0729244268562237,0.0715002388176606,0.0700981377434393,0.0687180219334429,0.0673597788163873,0.0660232854927816,0.0647084092679108,0.0634150081743016,0.0621429314831973,0.060892020204621,0.0596621075756657,0.0584530195367003,0.0572645751952296,0.0560965872771971,0.0549488625655616,0.0538212023260206,0.0527134027197954,0.0516252552034281,0.0505565469155755,0.0495070610508186,0.0484765772205343,0.0474648718009056,0.0464717182681701,0.045496887521233,0.0445401481917875,0.0436012669421096,0.0426800087507087,0.0417761371860336,0.0408894146684437,0.0400196027206728,0.0391664622070188,0.038329753561506,0.0375092370052717,0.0367046727534382,0.0359158212117344,0.0351424431631383,0.0343842999448127,0.0336411536156106,0.0329127671144274,0.0321989044096778,0.0314993306401762,0.0308138122476973,0.030142117101492,0.0294840146150347,0.0288392758552703,0.0282076736446316,0.0275889826560909,0.0269829795015058,0.0263894428135176,0.0258081533212531,0.0252388939200774,0.0246814497356399,0.0241356081824512,0.0236011590172213,0.0230778943871857,0.0225656088736406,0.0220640995308999,0.0215731659208845,0.0210926101435465,0.0206222368633242,0.0201618533318205,0.0197112694068892,0.0192702975683084,0.0188387529302151,0.0184164532504687,0.0180032189371045,0.017598873052036,0.0172032413121533,0.0168161520879672,0.0164374363999351,0.0160669279126066,0.0157044629267165,0.0153498803693505,0.0150030217823031,0.0146637313087425,0.0143318556782931,0.0140072441906395,0.0136897486977559
S1P to BcD,0.105870922837858,0.104292694604075,0.102733164140824,0.101192262624881,0.0996699162355095,0.0981660463331758,0.0966805696365915,0.0952133983979464,0.0937644405761932,0.0923336000082554,0.0909207765780394,0.0895258663831408,0.0881487618991419,0.0867893521414057,0.0854475228242809,0.084123156517638,0.0828161328006666,0.0815263284128676,0.0802536174021852,0.0789978712702266,0.0777589591145267,0.0765367477678186,0.0753311019342791,0.0741418843227238,0.0729689557767284,0.0718121754016652,0.0706714006886401,0.0695464876353285,0.0684372908637062,0.067343663734681,0.0662654584596301,0.0652025262088575,0.0641547172169839,0.0631218808852887,0.0621038658810256,0.0611005202337369,0.0601116914285923,0.0591372264967853,0.0581769721030159,0.0572307746300986,0.0562984802607283,0.0553799350564465,0.0544749850338466,0.0535834762380595,0.052705254813566,0.051840167072377,0.0509880595596309,0.0501487791166531,0.0493221729415258,0.0485080886472178,0.0477063743173221,0.046916878559452,0.0461394505563457,0.04537394011473,0.0446201977119939,0.043878074540723,0.0431474225511458,0.042428094491543,0.0417199439466698,0.0410228253742438,0.0403365941395469,0.0396611065481932,0.0389962198771111,0.038341792403791,0.0376976834338457,0.037063753326933,0.0364398635210893,0.0358258765555195,0.0352216560918919,0.0346270669341838,0.0340419750471225,0.0334662475732674,0.0328997528487772,0.0323423604179052,0.031793941046265,0.0312543667329096,0.0307235107212634,0.0302012475089488,0.0296874528565453,0.0291820037953211,0.0286847786339742,0.0281956569644198,0.0277145196666609,0.0272412489127768,0.0267757281700634,0.0263178422033608,0.0258674770765987,0.0254245201535932,0.0249888600981259,0.0245603868733346,0.0241389917404464,0.023724567256882,0.0233170072737578,0.022916206932814,0.0225220626627954,0.02213447217531,0.0217533344601896,0.0213785497803789,0.021010019666373,0.0206476469102301
IB to DF,0.0875343337002436,0.0867904913692094,0.0860426871851667,0.0852912914294496,0.0845366676103188,0.0837791722599545,0.0830191547511025,0.0822569571329106,0.0814929139854596,0.0807273522924568,0.0799605913315385,0.0791929425816003,0.0784247096465552,0.0776561881949043,0.0768876659144902,0.0761194224817953,0.0753517295451372,0.0745848507211147,0.0738190416036497,0.0730545497849781,0.0722916148879422,0.071530468608943,0.0707713347709207,0.0700144293857373,0.0692599607253502,0.0685081294011738,0.0677591284510434,0.0670131434332072,0.0662703525267901,0.0655309266381893,0.0647950295128759,0.0640628178521005,0.0633344414340111,0.0626100432387183,0.0618897595768549,0.0611737202212006,0.0604620485409583,0.0597548616382909,0.0590522704867418,0.0583543800711866,0.057661289528977,0.0569730922919606,0.0562898762290731,0.0556117237892236,0.0549387121442043,0.0542709133313774,0.0536083943959062,0.0529512175323131,0.0522994402251637,0.0516531153886906,0.0510122915051831,0.0503770127619862,0.0497473191869615,0.0491232467822791,0.0485048276564179,0.0478920901542668,0.0472850589852276,0.0466837553492328,0.0460881970605997,0.0454983986696538,0.0449143715820606,0.0443361241758167,0.0437636619158559,0.0431969874662358,0.0426361007998761,0.0420809993058267,0.0415316778940507,0.0409881290977116,0.040450343172961,0.0399183081962265,0.0393920101590062,0.0388714330601775,0.0383565589958354,0.0378473682466757,0.0373438393629446,0.0368459492469776,0.0363536732333533,0.0358669851666917,0.0353858574771275,0.0349102612534908,0.0344401663142303,0.0339755412761159,0.0335163536207572,0.0330625697589779,0.0326141550930855,0.0321710740770772,0.031733290274824,0.0313007664162753,0.0308734644517256,0.0304513456041877,0.0300343704199153,0.0296224988171177,0.0292156901329113,0.0288139031685498,0.0284170962329779,0.028025227184751,0.0276382534723626,0.0272561321730236,0.0268788200299353,0.0265062734880956
