"V1","V2","V5","V6","V7","V8","V9"
"Nat","Nat",0,0.185,0.048,0,0.019
"IB","IB",0.187,0.001,0.093,0.008,0.009
"S1P","S1P",0.147,0.205,0.092,0,0.634
"BcD","BcD",0.754,0.901,0.786,0.903,0.504
"DF","DF",0,0.211,0.001,0.544,0.464
"AL","AL",0.07,0.387,0.821,0.788,0.367
"IB","S1P",0.009,0.012,0.782,0.85,0.013
"GA","GA",0.123,0.196,0.523,0.575,0.708
"S1P","BcD",0.354,0.812,0.028,0.315,0.187
"IB","DF",0.124,0.007,0,0.001,0.529
"IB","Nat",0,0.239,0.719,0.199,0.389
"DF","BcD",0.27,0.442,0.513,0.018,0.895
"DF","S1P",0.809,0.016,0.751,0.363,0.002
"Nat","BcD",0.363,0.093,0.341,0,0.093
"Nat","S1P",0.284,0.123,0.035,0,0.004
"S1P","DF",0.088,0.287,0.076,0.011,0.062
