Nat,Nat,2188,0.003,0.002,0.003,0.003,0.003,0.003
IB,IB,1682,0.002,0.003,0.003,0.004,0.004,0.004
S1P,S1P,1437,0.003,0.004,0.004,0.005,0.005,0.007
BcD,BcD,1031,0.013,0.013,0.013,0.013,0.013,0.013
DF,DF,934,0.004,0.004,0.005,0.005,0.006,0.007
AL,AL,462,0.013,0.013,0.013,0.013,0.013,0.013
IB,S1P,115,0.006,0.004,0.004,0.006,0.007,0.007
GA,GA,100,0.013,0.013,0.013,0.013,0.013,0.013
S1P,BcD,80,0.005,0.005,0.005,0.007,0.008,0.011
IB,DF,76,0.002,0.003,0.003,0.004,0.004,0.004
IB,Nat,59,0.01,0.004,0.005,0.007,0.008,0.01
DF,BcD,57,0.009,0.005,0.006,0.009,0.007,0.012
DF,S1P,46,0.005,0.004,0.005,0.006,0.006,0.004
Nat,BcD,41,0.002,0.003,0.004,0.004,0.003,0.004
Nat,S1P,36,0.003,0.004,0.005,0.005,0.004,0.005
S1P,DF,33,0.004,0.005,0.006,0.006,0.006,0.006
