Nat,Nat,2188,0.77,0.26,0.22,0.14,0.47,0.21
IB,IB,1682,0.79,0.32,0.14,0.09,0.48,0.17
Fin,Fin,1151,0.7,0.48,0.24,0.09,0.45,0.05
BcD,BcD,1031,0.8,0.21,0.37,0.35,0.22,0.08
DF,DF,934,0.63,0.33,0.43,0.16,0.32,0.42
Cyc,Cyc,445,0.79,0.17,0.11,0.2,0.39,0.39
Ter,Ter,272,0.2,0.23,-0.56,0.68,0.36,-0.06
GA,GA,100,-0.11,0.59,-0.71,0.24,0.25,-0.15
IB,Fin,96,-0.67,-0.27,0.05,0.27,0.43,-0.47
IB,DF,76,-0.71,0.14,0.19,-0.59,-0.3,0.01
Fin,BcD,62,-0.81,0.29,-0.07,0.06,-0.05,-0.5
IB,Nat,59,-0.02,-0.33,-0.56,0.17,0.23,-0.71
DF,BcD,57,-0.51,-0.11,0.43,-0.48,0.2,0.51
Nat,BcD,41,-0.7,-0.12,-0.08,-0.14,-0.63,-0.28
Nat,Fin,31,-0.52,-0.27,-0.33,-0.21,-0.52,-0.49
