Nat,Nat,2188,0.004,0.004,0.004,0.004,0.004,0.006
IB,IB,1682,0.005,0.004,0.004,0.005,0.005,0.006
Fin,Fin,1151,0.005,0.005,0.005,0.007,0.005,0.009
BcD,BcD,1031,0.01,0.008,0.008,0.009,0.008,0.01
DF,DF,934,0.006,0.005,0.006,0.006,0.007,0.009
Cyc,Cyc,445,0.009,0.008,0.008,0.009,0.008,0.01
Ter,Ter,272,0.009,0.008,0.01,0.011,0.01,0.012
GA,GA,100,0.01,0.009,0.011,0.014,0.011,0.013
IB,Fin,96,0.009,0.005,0.006,0.008,0.009,0.011
IB,DF,76,0.005,0.004,0.005,0.006,0.006,0.009
Fin,BcD,62,0.009,0.006,0.007,0.01,0.01,0.015
IB,Nat,59,0.011,0.005,0.007,0.01,0.011,0.013
DF,BcD,57,0.011,0.006,0.008,0.011,0.01,0.015
Nat,BcD,41,0.005,0.005,0.006,0.006,0.005,0.008
Nat,Fin,31,0.005,0.005,0.006,0.007,0.005,0.008
